Unnamed: 0,Context,Verb.form,Recipient,Theme,morph_case
828,"we stayed at ah a b-and-b, a bed-and-breakfast, ah in saint-john's and that give syou even more of a chance to interact with- with people,",give,you,even more of a chance,dat
829,"um and b-c-i had this crazy old gym um which was ah in the basement with a ah elevated balcony around the gym floor, which gave us this wonderful home-team advantage um but ah- and a low ceiling too that would ah interrupt a lot of long passes.",gave,us,this wonderful home-team advantage,dat
830,"they were leaving the house, dad was like, ""oh, so give yourself allowance to catch the bus."" it's like,",give,yourself,allowance to catch the bus,dat
831,you give them like little pellets of food and she like eats them.,give,them,like little pellets of food,dat
832,"they always gave me money, candy, cheese and snuff.",gave,me,"money, candy, cheese and snuff",dat
833,there's a placement meeting in may where you go to pick your jobs and then they finally ended up giving the half-time people that made the list to go full-time finally a placement meeting in june,giving,the half-time people that made the list to go full-time,a placement meeting,dat
834,"five minutes during lunch  right  like they gave me a bit of a discount when i bought my fries, s",gave,me,a bit of a discount,dat
835,"at the end to travel. and at the beginning, they gave us an orientation-tour of germany so we went to b",gave,us,an orientation-tour of germany,dat
836,"pport her going and didn 't, you-know, other than giving her a roof over her head, they absolutely would g",giving,her,a roof over her head,dat
837,"riveway uh for their uh customers in exchange for giving us like basically at cost stuff, they never char",giving,us,like basically at cost stuff,dat
838," really  yeah, in the- in the show so he gave her a couple of free-passes  cool  we wen",gave,her,a couple of free-passes,dat
839,"world, man.  i 've heard that.  they will give  you the skin off their back. it 's not like walk",give,you,the skin off their back,dat
840,"confuses them. so you don 't say, um-  i 'll give you two directions in one sentence.  ""pick u",give,you,two directions in one sentence,dat
841,eetcar but not- probably not. but it i-- it does give you a good sense of it and really in terms of the,give,you,a good sense of it,dat
842,r this woman came up to us on the street and gave us one of those little cards,gave,us,one of those little cards,dat
843,"a man of very few words, but he just kind of like give me that little grin of his that he was happy, tha",give,me,that little grin of his,dat
844,y- isn 't it amazing they don 't eat? nothing. you give  them the special high-protein food in the fall a,give,them,the special high protein food,dat
845,"having a drink here, having a drink there. people gave me a few more to drink so i 'm going to- i go to",gave,me,a few more to drink,dat
846,", what am i gonna do with this?” but we, actually gave him like a u-s-b-flash-drive-  uh-huh. ",gave,him,like a usb-flash-drive,dat
847,", um but it ‘s a private college, um and they were giving me twelve-thousand-dollars a-year um, for a merit",giving,me,twelve-thousand dollars a year,dat
848,like i started giving him cattle and-things-like-that.,giving,him,cattle and-things-like-that,dat
849,he walked into the bank-of-commerce and they give him all the money he wanted to ah- taking the mortgage over in his own name.,give,him,all the money he wanted,dat
850,"e ""yeah, okay cool, whatever"" and i don 't really give it too much of a chance because, i-don-t-know, m",give,it,too much of a chance,dat
851,"we 've had fun with that. and of course, he also gives us a great discount on things.  well, i mean,",gives,us,a great discount on things,dat
852,"old, his wife- her name is yarmilla, and his wife gave him a nineteen-fifty pontiac car. yeah, restored",gave,him,a 1950 pontiac car,dat
853,e six or seven his mom and dad thought they would give him a guitar and guitar lessons for christmas and,give,him,a guitar and guitar lessons,dat
854,"n awe. they say ""wow"" and i say ""yes. this will give you something to be proud about. you-know you ju",give,you,something to be proud about,dat
855,"at the end of the first term, i went down, gave him a piece of my mind. gave him a piece of my mind.",gave,him,a piece of my mind,dat
856,"ice are hiding him."" and i said ""look ah, can you give me the name of the witness?"" and he said ""yeah,",give,me,the name of the witness,dat
857,"ssa, nobody likes you!"" i 'm like, ""well gee, you give me the people who are problems, i 'm trying to c",give,me,the people who are problems,dat
858,"ve you a deadline, we actually mean it."" so we 'd give them deadlines like three months ahead. because ",give,them,deadlines like three months ahead,dat
859,yup.  baby-bonuses. the government used to give you so much money per month if you  per kid.,give,you,so much money per month,dat
860,"em to make me vegetarian food, but they did. they gave me the odd ah dish of pasta. um, for the first t",gave,me,the odd dish of pasta,dat
861,ow. so it 's not really reassuring considering i gave her like eight thousand fucking dollars you see w,gave,her,like eight thousand fucking dollars,dat
862,s crazy about denise.  yes.  well denise gives her all the love and attention-  mm  we,gives,her,all the love and attention,dat
863,he one that uncle marty gave me for christmas. he gave me the day at the spa.  that was like-  t,gave,me,the day at the spa,dat
864,"ou have to-  yeah  but in a way, you- it gives you another day with the dog. so-  that 's r",gives,you,another day with the dog,dat
865,"de more of an effort to kind-of balance things and give you a little bit of both?   and ah, is i",give,you,a little bit of both,dat
866,ally that good. i think i just had- it is good. it gives you kind-of a good drunk but i think it's just ma,gives,you,kind-of a good drunk,dat
867," and your mom have the same name"" and they kind-of give me that look of like ""oh"", but it's like how many",give,me,"that look of like ""oh""",dat
868,"off of mine, i surveyed them and give him some and give him enough to build on that. four acres each, i-",give,him,enough to build on that,dat
869,"the few neighbours helped me a little bit. they'd give me a day's work or two and other than that, i did",give,me,a day's work or two,dat
870,nd they did become a better paper when we- when we gave them a run for their money. um i don’t know where,gave,them,a run for their money,dat
871,"no, you definitely want to do something that will give you some stabilized living after you graduate. ",give,you,some stabilized living,dat
872,"like i said, i-- growing up in like the-big-smoke gives you, sort of a- a bit of a warped perspective. l",gives,you,a bit of a warped perspective,dat
873,"you don’t have to do anything in class. she just gives you like, stuff you have to do, and you have to",gives,you,like stuff you have to do,dat
874,on't get it then you don't get it then the-- they give you i guess an official rejection letter.  so,give,you,i guess an official rejection letter,dat
875,they- and then once you broke the code they would give you like directions to the place- the next place,give,you,like directions to the next place,dat
876,"split up, right? and there 's two weeks, and they gave me the lead role for a play. like this was, ther",gave,me,the lead role for a play,dat
877,knew each other and then later on down the road he gave me that job and stuff like that.  sounds good,gave,me,that job,dat
878,so you can 't eat anything. well ask you doctor to give you like a meal plan or something. something so y,give,you,like a meal plan or something,dat
879,larinet i proba-- i can probably still play if you give me like a three-hour prep time whatever i have to,give,me,like a three hour prep-time,dat
880,ll. hm. i-don-t-know. maybe i won 't be able to give you an hour-and-something of information. but if,give,you,an hour-and-something of information,dat
881,this is the most difficult part of the shoe business the fitting of shoes it is also the part that give sthe shoe fitter not just the owner but the shoes fitter on the fitting stool the most amount of personal satisfaction,give,the shoe fitter not just the owner but the shoes fitter on the fitting stool,the most amount of personal satisfaction,dat
882,"well, it will give you a better idea of the size.",give,you,a better idea of the size,dat
883,well i can give you a story on the flood situation.,give,you,a story on the flood situation,dat
884,they used to give me their clothes and-things-like-that and- was it?,give,me,their clothes,dat
885,i-guess like th-- they give you almost a new set of eyes in university.,give,you,almost a new set of eyes,dat
886,"and ah, she was good to- to you-know, always giving them about two-thousand hugs a day,",giving,them,about two-thousand hugs a day,dat
887,others they just give you like one little like candy-thing.,give,you,like one little like candy-thing,dat
888,n i went- i switched over to art. and they had to give me a whole elaborate interview for art because t,give,me,a whole elaborate interview for art,dat
889,ah they always ah had the idea that they would trust us unless we gave them a reason not to trust us.,gave,them,a reason not to trust us,dat
890, yeah it 's- it 's quite interesting. we- it gives you an appreciation of what we have and how spoil,gives,you,an appreciation of what we have,dat
891,my parents they weren 't really tight-asses they gave me freedom pretty much to do whatever- i mean go,gave,me,freedom pretty much to do whatever,dat
892,"of diapers, formula, all that stuff, and you 're giving me fifty-five percent of my salary? i 'm not hom",giving,me,fifty-five percent of my salary,dat
893,ink that 's wonderful to have that because it does give people a sense of place and- and belonging- ,give,people,a sense of place and belonging,dat
894,"mpanies or-?  they answer is both, and i 'll give you a- another sociology lesson, or anthropology",give,you,another sociology lesson or anthropology lesson,dat
895,e this good a birthday dinner with like-“ and they gave me as much wine as i wanted because my mom told t,gave,me,as much wine as i wanted,dat
896,"but um, i don 't really watch tv cause um it just gives me a gross feeling inside of me, like just, i wat",gives,me,a gross feeling inside of me,dat
897,they pulled a few strings and- and give me the money to buy the truck.,give,me,the money to buy the truck,dat
898,yeah but um you can't get forty hours a week and they won't give me more than nine-dollars an hour.,give,me,more than nine-dollars an hour,dat
899,y weren 't quite sure what to do. so eaton's would give them a five-cent-an-hour raise and the unions wo,give,them,a five-cent-an-hour raise,dat
900,"e everybody likes  to be honest with you, to give you a little bit of a background, in the fifty ye",give,you,a little bit of a background,dat
901,"if relatives came to visit, they would sometimes give me a dime or even a quarter. if i got a quarter i",give,me,a dime or even a quarter,dat
902,"they need that one-on-one to focus you and maybe give you a different way of approaching it, you-know?",give,you,a different way of approaching it,dat
903,"uga?  mississauga, yeah yeah i could probably give you much of a glimpse of toronto, i notice missi",give,you,much of a glimpse of toronto,dat
904,"rst- especially in their elementary years, ah, to give them a good basic, ah, training and- and discipli",give,them,a good basic training and discipline,dat
905,"d somebody who wants to manage you and ah you just give them a percentage of whatever you make for ah, f",give,them,a percentage of whatever you make,dat
906,"dad's going to find out about it,"" like it kind-of gives you a little bit of an out .   r",gives,you,a little bit of an out,dat
907,"mom and dad, well they couldn't afford to you-know give us piano lessons or anything like that. the only",give,us,piano lessons or anything like that,dat
908,"count or if you didn't have dental insurance, we'd give you a little bit of a break and then the new way",give,you,a little bit of a break,dat
909,">  mm-hm.   and ah, th-- i have- they give me four new va-- ah, veins in my heart and there'",give,me,four new veins in my heart,dat
910,"ot, you-know i got paid for it of course. but they gave you thirty pages of like medical stuff to read it",gave,you,thirty pages of like medical stuff,dat
911,"hree buddies or my brothers or-something, he would give us a bottle of coke or-something for twenty-five-",give,us,a bottle of coke or-something,dat
912,"astic, it won’t hundred-percent plastic because it gives us something material to hold on to, you-know. it",gives,us,something material to hold on to,dat
913,"n’t gotten any calls, and they’d only- they’d only give me like a- one or two shifts a week, which is fin",give,me,like one or two shifts a week,dat
914,"rink at one of my friend’s birthday like, her mom gave us like, a small cup of red wine. like, that’s w",gave,us,"like, a small cup of red wine",dat
915," -know, it can be like- like in a month they would give me like i-don-t-know, twenty, forty dollars. ",give,me,"like twenty, forty dollars",dat
916,s why i like physical activity because it- it- it gives you a certain amount of i guess happiness. you,gives,you,a certain amount of happiness,dat
917,night. so i went to sleep and on the airplane they give you those little masks to cover your eyes so i h,give,you,those little masks to cover your eyes,dat
918,-  no i want to think about this. if you had given me a list of questions to think about then i coul,given,me,a list of questions to think about,dat
919,"she could make things you know, give her a piece of cloth of any type",give,her,a piece of cloth of any type,dat
920,now grade thirteen gave you a better teaching certificate for elementary purposes than if you only completed grade twelve.,gave,you,a better teaching certificate for elementary purposes,dat
921," i am very happy for this, again now let me give anyone the idea that i am knocking chains,",give,anyone,the idea that i am knocking chains,dat
922,"so we give 'em a hundred-and-twenty-five-thousand dollars- or six years, sorry, six years, all their medical years.",give,them,a hundred-and-twenty-five-thousand-dollars,dat
923,"you had two sides, and ah one would chase the other you'd give them so long to get out of sight,",give,them,so long to get out of sight,dat
924,but they really didn't give you a broader view of what was available because they didn't have that information at their disposal.,give,you,a broader view of what was available,dat
925,"it's good in a way, but it also doesn't give you a- like a super broad amount of information- or i didn't retain a super broad am-- amount of information, i learned it on my own.",give,you,like a super broad amount of information,dat
926,yes. and self-esteem too 'cause we give them a chance to teach the game too sometimes.,give,them,a chance to teach the game,dat
927,"and they give you three dollars a day allowance or whatever, so all you have to pay for is your shots.",give,you,three dollars a day allowance or whatever,dat
928,my teacher was like a psycho and he gave us like tons of math homework every night,gave,us,like tons of math homework,dat
929,so- and what we would do is like the whole club would split into groups and we'd each- and we'd- they'd give us a list of different scenes from shakespeare,give,us,a list of different scenes from shakespeare,dat
930,"and they- he's got two holes here where they went in and they peeled it back and they clamped it- they just got- because they gave him a fifty-fifty chance of making it, but he",gave,him,a fifty-fifty chance of making it,dat
931,they gave me that a-t-p-a drug or-whatever-it-was and ah-,gave,me,that atpa drug or whatever it was,dat
932,"hey called it a polytechnical-institute, and they gave you something called a bachelor-of-applied- arts.",gave,you,something called a bachelor-of-applied-arts,dat
933," special display or something like that, they 'll give him like, like free passes to the c-n-tower or s",give,him,like free passes to the cn-tower,dat
934,"danforth, yeah, i think so. so that also i think gave it a feel of being a small town, and east-york f",gave,it,a feel of being a small town,dat
935,"or coffee in a china cup and saucer, and they 'd give you a piece of their famous cherry cake. a finge",give,you,a piece of their famous cherry cake,dat
936,"lked back to a neighbour's dad, your parents would give him the perni-- permission to slap across the ass.",give,him,the permission to slap across the ass,dat
937,e did this but she insisted. she really wanted to give me something as like a gift th-- japanese thing,give,me,something,dat
938,"ose the ah, next properties like-   ah, i give them a piece of land ah, off of mine, i surveyed",give,them,a piece of land off of mine,dat
939,"one day.  yeah. and then they always try to give you the old pizza from like, the previous lunch.",give,you,"the old pizza from like, the previous lunch",dat
940,like exercising and stuff.  and you sort-of- they give you like instructions on how to get back into sha,give,you,like instructions on how to get back into shape,dat
941,"hat was a really wonderful experience. it really gave me um some time to like refocus, regain my ground",gave,me,"some time to like refocus, regain my ground",dat
942,or-something. a story like that right? but he 's giving them like one of those like mature movies or-some,giving,them,like one of those like mature movies or-something,dat
943,ng-like-that. but i think he 's slightly- like he gave me like a little bit of a brush-over. i was talk,gave,me,like a little bit of a brush-over,dat
944,george used to give them a turkey dinner and a bottle of beer.,give,them,a turkey dinner and a bottle of beer,dat
945,"but i didn't really know them, but it gave me a chance to make more friends and-stuff.",gave,me,a chance to make more friends and-stuff,dat
946," and they said, ""don't worry about it."" and they gave my parents i-think it was ten or fifteen feet um and my parents put a gate in ",gave,my parents,i think it was ten or fifteen feet,dat
947,"s so sad.  yeah, i could see why that would give you a little bit of anxiety about getting marrie",give,you,a little bit of anxiety about getting married,dat
948,"we worked together in the business and ah we were there for about five years, and my dad give us this lot where our house is built today and ah my sister had a lot next to us too.",give,us,this lot where our house is built today,dat
949,"an infection from the buckwheat straw. and they gave mother stuff she had to put in my eyes, particula",gave,mother,stuff she had to put in my eyes,dat
950,"at 's my hunch right? and what i 'll do is i 'll give you my write up on the east-yorker- magazine, and",give,you,my write up on the east-yorker-magazine,dat
951,"i usually have one in the late fall, so i usually give them my favourite beef-stew and my home-made biscuits.",give,them,my favourite beef-stew and my homemade biscuits,dat
952,"it wasn't really, really a career job, but kinda gave me an idea of what i didn't want to do.",gave,me,an idea of what i did n't want to do,dat
953,"no spending money but they give me a part-time job as janitor in the dormitories and ah, so i was there for awhile.",give,me,a part-time job as janitor in the dormitories,dat
954,"s, but he was part owner up there, and he used to give me a tee-off time every saturday at nine-o'clock,",give,me,a tee-off time every saturday at nine-o'-clock,dat
955,"and ah they'll play for hours in the sandbox. and if you give them a pail and some water, rain water or-whatever,",give,them,"a pail and some water, rain water or-whatever",dat
956,"so used to- he 'd advertise in the paper and he 'd give you a couple-of- bucks, maybe five-bucks or somet",give,you,"a couple-of bucks, maybe five bucks or something",dat
957,"in. try this new guitar out."" you-know? and he 'd give you a guitar that 's worth a couple- of-thousand-",give,you,a guitar that 's worth a couple of thousand-bucks,dat
958,"g facility. and it 's always, always because they give me the most challenging pool and the most challen",give,me,the most challenging pool and the most challenging staff,dat
959,to go in every day.  i 'm freelance but they give me my own card and my own phone and-everything.,give,me,my own card and my own phone and-everything,dat
960,"a say, ""no there 's no,"" i said, ""i don 't have to give you a reason why there 's no extension on your l",give,you,a reason why there 's no extension on your lease,dat
961,"e people use it to ah… instead of a pause, like it gives you time to think about what you’re going to say",gives,you,time to think about what you 're going to say next,dat
962,e phone calls is kind of exciting sometimes. they give you something that you don 't know how to really,give,you,something that you do n't know how to really deal with,dat
963,"we had a seven-and-a-half ton refrigerating system that was supposed to give you the equivalent of seven-and-a-half tons of ice a day,",give,you,the equivalent of seven-and-a-half tons of ice a day,dat
964,"i'm too busy having a good time- ah, you-know to go and take some courses that give you the backbones of ah design and landscaping and- and-things-like-that.",give,you,the backbones of design and landscaping and-things-like-that,dat
965,i met him and he had a little shopping bag and he gave me an old pickle- barrel drum with the tacks in i,gave,me,an old pickle-barrel drum with the tacks in it,dat
966,"at you wanna be on their e-mail list, they tend to give you a-lot of either really cheap tickets or free",give,you,a-lot of either really cheap tickets or free tickets,dat
967,"e of them was like “ah, well, you-know like if you give us a number that we can call once in a while, we",give,us,a number that we can call once in a while,dat
968,"n, so he came, went up to adam-s-hardware and they gave him, i think it was three-hundred feet of sash c",gave,him,i think it was three-hundred feet of sash cord,dat
969,"e done. if all is well and fine, we 'll look into giving you an- a renewal of your lease and possibly an e",giving,you,a renewal of your lease and possibly an extended lease,dat
970,"then a huge frame is welded and the stresses are engineered to handle it over thirty years or- you give it a five-time rule, or ten-time rule for engineering and ah,",give,it,"a five-time rule, or ten-time rule for engineering",dat
971,because they would give you basically like the local low-down on what you could be.,give,you,basically like the local low-down on what you could be,dat
972,but i've given the kids a lot of the ornaments that we had when we were young,given,the kids,a lot of the ornaments that we had when we were young,dat
973,we were all at my place and ah my poor mom had to give everybody kool-aid and lemonade and hot-dogs and drinks and-all-that-stuff,give,everybody,kool-aid and lemonade and hot-dogs and drinks and-all-that-stuff,dat
974,he sits and has coffee with me for an hour before i go to work and i give him a list of things that he should be working on for the day.,give,him,a list of things that he should be working on for the day,dat
975,"like and i 'm talking about like- oh one girl, her parents gave me a painting that her grandfather had made for the wedding of somebody else,",gave,me,a painting that her grandfather had made for the wedding of somebody else,dat
976,"e, september-eleventh, for some reason, seemed to give american, um, media the feeling that they had th",give,american media,the feeling that they had the right to take that kind of bias,dat
977,"o church, we went to my grandparents. and he would give us two of those big i think they are two gallon",give,us,"two of those big i think they are two gallon bucks, full of plums",dat
978,"just, 'happy teacher appreciation day!'. and they gave them mugs and like, um, these um, green garbage bag style things and tied with like a ribbon",gave,them,mugs and like these green garbage bag style things tied with like a ribbon,dat
979,"world. when you ask to go to the bathroom, she’ll give  you a lecture on how it’s her choice, whether yo",give,you,a lecture on how it 's her choice whether you can go to the bathroom or not,dat
980,"ns to like, putting their kids through school and giving them like dance lessons, piano lessons, and whatever, camp and whatever they had when they were children",giving,them,"like dance lessons, piano lessons, and whatever camp and whatever they had when they were children",dat
981,"m the war and came back with little souvenirs and gave me all these li-- this little bit of money he had, it was english coins and-stuff, and-all-that",gave,me,this little bit of money he had,dat
982,give us a a biscuit or something,give,us,a biscuit or something,dat
983,give us whatever she had,give,us,whatever she had,dat
984,give you ah a scripture,give,you,a scripture,dat
985,gave a chap a horse that was pretty flighty .,gave,a chap,a horse that was pretty flighty,dat
986,give the men a a drink of brandy,give,the men,a drink of brandy,dat
987,give you a . a very . pleasing . er effect,give,you,a very pleasing effect,dat
988,given a mr stirling . a trip down from wellington . to the bluff .,given,a mr stirling,a trip down from wellington to the bluff,dat
989,gave chaslands permission . to go and recover the iron .,gave,chaslands,permission to go and recover the iron,dat
990,gave me a smack on the hand,gave,me,a smack on the hand,dat
991,gives them a lot of ah l ah w ah lessons and things,gives,them,a lot of lessons and things,dat
992,give me a duster.,give,me,a duster,dat
993,give me a special treat.,give,me,a special treat,dat
994,gave me good basic - eating -,gave,me,good basic eating,dat
995,gave me pocket money,gave,me,pocket money,dat
996,give me that. um address of that person,give,me,that address of that person,dat
997,give them their drinks,give,them,their drinks,dat
998,gave him a check for two pound which he took home to his mother .,gave,him,a check for two pound,dat
999,gave him a packet of senna leaves .,gave,him,a packet of senna leaves,dat
1000,give him the recipe .,give,him,the recipe,dat
1001,give me my . share .,give,me,my share,dat
1002,giving the um the english people . ahh the preserved ginger,giving,the english people,the preserved ginger,dat
1003,give you all the names .,give,you,all the names,dat
1004,give you their ahh christian names,give,you,their christian names,dat
1005,give em this um what they call it  solo mums pay,give,them,this what they call it solo mums pay,dat
1006,gave me a ride up to gibson,gave,me,a ride up to gibson,dat
1007,gave sammy some mouldy chaff,gave,sammy,some mouldy chaff,dat
1008,give them supper,give,them,supper,dat
1009,give us a pig ,give,us,a pig,dat
1010,give you some more pork bones,give,you,some more pork bones,dat
1011,give him a bottle of whiskey .,give,him,a bottle of whiskey,dat
1012,gave him one clack .,gave,him,one clack,dat
1013,give them a pull into the crop or away from the crop,give,them,a pull into the crop or away from the crop,dat
1014,gave me a couple of whacks across the backside,gave,me,a couple of whacks across the backside,dat
1015,gave me a drink,gave,me,a drink,dat
1016,gave us both a belt across the backside,gave,us both,a belt across the backside,dat
1017,give you thank you,give,you,thank you,dat
1018,given her a ride into town.,given,her,a ride into town,dat
1019,give him a big hug,give,him,a big hug,dat
1020,gave them a . um - thoroughbred . mare each .,gave,them,a thoroughbred mare,dat
1021,gave them a couple of buckets of chaff,gave,them,a couple of buckets of chaff,dat
1022,give me a few whacks,give,me,a few whacks,dat
1023,give them a good sponge down,give,them,a good sponge down,dat
1024,give them a good wash down,give,them,a good wash down,dat
1025,giving them a. a night's. shelter,giving,them,a night's shelter,dat
1026,give them another . another bucket of chaff,give,them,another bucket of chaff,dat
1027,give them another one,give,them,another one,dat
1028,give them one,give,them,one,dat
1029,gave us a cuddle,gave,us,a cuddle,dat
1030,gave us a good. variety of food,gave,us,a good variety of food,dat
1031,give us a plate full of food,give,us,a plate full of food,dat
1032,give us a rifle each,give,us,a rifle,dat
1033,give him a bit of it,give,him,a bit of it,dat
1034,give me a hand,give,me,a hand,dat
1035,give me a little bit of it .,give,me,a little bit of it,dat
1036,gave me this whip with a whistle on it .,gave,me,this whip with a whistle on it,dat
1037,give me a little education,give,me,a little education,dat
1038,give him some brandy and milk,give,him,some brandy and milk,dat
1039,give them um .  what did they call them ?  . charitable aid -,give,them,charitable aid,dat
1040,give you a hand,give,you,a hand,dat
1041,give you so much ,give,you,so much,dat
1042,give a boy .  half a crown,give,a boy,half a crown,dat
1043,give the other fellow a turn .,give,the other fellow,a turn,dat
1044,give this a animal name,give,this,a animal name,dat
1045,gave me a free place,gave,me,a free place,dat
1046,gave us a lilly .,gave,us,a lilly,dat
1047,gave us a meal .,gave,us,a meal,dat
1048,gave ah jim thrupence,gave,jim,thrupence,dat
1049,given old cornelius day a hiding,given,old cornelius day,a hiding,dat
1050,give it its maori name .,give,it,its maori name,dat
1051,giving her a marvellous christmas present .,giving,her,a marvellous christmas present,dat
1052,gave me a . one of the old . cricket bats,gave,me,one of the old cricket bats,dat
1053,given me the job .,given,me,the job,dat
1054,give them  a special nickname,give,them,a special nickname,dat
1055,give them any . um . ahh . food .,give,them,any food,dat
1056,gave us a demonstration .,gave,us,a demonstration,dat
1057,give us a little break .,give,us,a little break,dat
1058,give us some instruction . in um . ahh swimming,give,us,some instruction in swimming,dat
1059,gave you a note .,gave,you,a note,dat
1060,gave me the strap,gave,me,the strap,dat
1061,give people the information they wanted about trains,give,people,the information they wanted about trains,dat
1062,give the maid a chance of getting out .,give,the maid,a chance of getting out,dat
1063,gave me an awful fright -,gave,me,an awful fright,dat
1064,gave me a bundle of papers which was nearly as big as i was,gave,me,a bundle of papers which was nearly as big as i was,dat
1065,gave me a shilling,gave,me,a shilling,dat
1066,give this chap a meal,give,this chap,a meal,dat
1067,giving us the rules of the day,giving,us,the rules of the day,dat
1068,gave you a free paper to take home .,gave,you,a free paper to take home,dat
1069,give you the . comics . out of the old ahh . auckland ahh herald,give,you,the comics out of the old auckland herald,dat
1070,gave me the impression that she she thought that we i was way down below their sort,gave,me,the impression that she thought that i was way down below their sort,dat
1071,give them a drink,give,them,a drink,dat
1072,gave him a great welcome .,gave,him,a great welcome,dat
1073,gave him a most enthusiastic reception -,gave,him,a most enthusiastic reception,dat
1074,give me ah a kerosene tin full of milk,give,me,a kerosene tin full of milk,dat
1075,given us our bath,given,us,our bath,dat
1076,giving us the best price,giving,us,the best price,dat
1077,give you so much,give,you,so much,dat
1078,give you so much,give,you,so much,dat
1079,give me all his pay,give,me,all his pay,dat
1080,give me hell,give,me,hell,dat
1081,give me some money,give,me,some money,dat
1082,give you five percent .,give,you,five percent,dat
1083,give you that .,give,you,that,dat
1084,given him a biff,given,him,a biff,dat
1085,giving him two injections,giving,him,two injections,dat
1086,give them an injection of um -- glucose --,give,them,an injection of glucose,dat
1087,gives you high blood sugar --,gives,you,high blood sugar,dat
1088,gave her all sort of rotten fruit,gave,her,all sort of rotten fruit,dat
1089,gave me the batton,gave,me,the batton,dat
1090,gave them a donation,gave,them,a donation,dat
1091,give her a bit of money to come to timaru,give,her,a bit of money,dat
1092,giving him really incredible birthday presents,giving,him,really incredible birthday presents,dat
1093,give me their name and their . their f- new flat . address,give,me,their name and their new flat address,dat
1094,give murray a yell,give,murray,a yell,dat
1095,gave him great pleasure,gave,him,great pleasure,dat
1096,gave me the phone number,gave,me,the phone number,dat
1097,give them you know a bit of time to . to settle down,give,them,a bit of time to settle down,dat
1098,give us an in~ income,give,us,an income,dat
1099,give her a bit of peace,give,her,a bit of peace,dat
1100,give them something i make,give,them,something i make,dat
1101,given them that,given,them,that,dat
1102,give him cheese on toast,give,him,cheese on toast,dat
1103,give you an example,give,you,an example,dat
1104,gave you that wonderful watch and your lovely soft . ss soft warm sleeping bag,gave,you,that wonderful watch and your lovely soft warm sleeping bag,dat
1105,gives me something nice,gives,me,something nice,dat
1106,give him a bit more time,give,him,a bit more time,dat
1107,give him an anaesthetic,give,him,an anaesthetic,dat
1108,gave him injections,gave,him,injections,dat
1109,give him injections,give,him,injections,dat
1110,give him one more day one more day .,give,him,one more day,dat
1111,gave him the anaesthetic,gave,him,the anaesthetic,dat
1112,give him any extra time,give,him,any extra time,dat
1113,give you his bone -,give,you,his bone,dat
1114,give us a few ideas,give,us,a few ideas,dat
1115,given her pills,given,her,pills,dat
1116,gave me a couple of classes,gave,me,a couple of classes,dat
1117,give me that look,give,me,that look,dat
1118,gave me these pills which i couldn't take,gave,me,these pills which i could n't take,dat
1119,give her a ring,give,her,a ring,dat
1120,give us one,give,us,one,dat
1121,given me a card,given,me,a card,dat
1122,given them an allowance,given,them,an allowance,dat
1123,give them breakfast .,give,them,breakfast,dat
1124,gave us glasses,gave,us,glasses,dat
1125,gave us jugs,gave,us,jugs,dat
1126,give you a clip round the ear,give,you,a clip round the ear,dat
1127,give you some glasses .,give,you,some glasses,dat
1128,give you the best price,give,you,the best price,dat
1129,given her three options,given,her,three options,dat
1130,give us a couple of minutes,give,us,a couple of minutes,dat
1131,give her a big birthday .,give,her,a big birthday,dat
1132,gave them a blood nose,gave,them,a blood nose,dat
1133,gave me all my lucky numbers,gave,me,all my lucky numbers,dat
1134,give the children loads of money,give,the children,loads of money,dat
1135,giving vicki his p c,giving,vicki,his pc,dat
1136,give vicki this new - this other computer that that's more updated computer -,give,vicki,this other computer that 's more updated computer,dat
1137,gave the trees a chance .,gave,the trees,a chance,dat
1138,gave don a bit of a . bit of a shock,gave,don,a bit of a shock,dat
1139,gave her a chocolate biscuit -,gave,her,a chocolate biscuit,dat
1140,give her <mmm> food,give,her,food,dat
1141,gave me a couple of frights,gave,me,a couple of frights,dat
1142,gave me a few frights,gave,me,a few frights,dat
1143,gave me any problems,gave,me,any problems,dat
1144,gave me a lot of resources,gave,me,a lot of resources,dat
1145,gave me a wonderful send-off party,gave,me,a wonderful send-off party,dat
1146,given ahh australia a little fright,given,australia,a little fright,dat
1147,gave him a warning that,gave,him,a warning,dat
1148,gave them a discount,gave,them,a discount,dat
1149,give you a date,give,you,a date,dat
1150,give them this . sort of rough i~ idea of where we were,give,them,this rough idea of where we were,dat
1151,given me a thousand dollars,given,me,a thousand dollars,dat
1152,give them the benefit of the doubt,give,them,the benefit of the doubt,dat
1153,give us - opportunities,give,us,opportunities,dat
1154,gives you a certain amount of self confidence that you can tackle whatever you . want to do .,gives,you,a certain amount of self confidence that you can tackle whatever you want to do,dat
1155,gives everything a hundred and fifty percent .,gives,everything,a hundred and fifty percent,dat
1156,give her time off -,give,her,time off,dat
1157,give you much chance to sort of,give,you,much chance,dat
1158,gave me a lot of ideas how to work with them individually in group situations in a whole class situation .,gave,me,a lot of ideas how to work with them individually in group situations in a whole class situation,dat
1159,gave you ideas how you can still extend them with without taking them apart from the others,gave,you,ideas how you can still extend them without taking them apart from the others,dat
1160,gave her the equivalent of fifty cents -,gave,her,the equivalent of fifty cents,dat
1161,gave you the opportunity,gave,you,the opportunity,dat
1162,give their relatives a break,give,their relatives,a break,dat
1163,gives me a brown eye -,gives,me,a brown eye,dat
