Line,Construction,verb,rec,rec.def,rec.pron,rec.anim,thm,thm.def,thm.pron,thm.anim
um showed us the basic things and how to use the machine and,showed us the basic things and how to use the machine,showed,us,Def,pronoun,Anim,the basic things,Def,non,Inanim
ohh I'll show you some photos Julie <okay> --,show you some photos,show,you,Def,pronoun,Anim,some photos,Indef,non,Inanim
I'll show you my . um - a~ a~ th~ th~ the the wool that I got from um,show you my . um . the wool that I got from,show,you,Def,pronoun,Anim,the wool that I got from,Def,non,Inanim
I'll show you look I'll show you my beautiful photos,show you my beautiful photos,show,you,Def,pronoun,Anim,my beautiful photos,Def,non,Inanim
I'll send I'll send her a photo of my sky to -,send her a photo of my sky,send,her,Def,pronoun,Anim,a photo of my sky,Indef,non,Inanim
I send this to my friends and tell them what I've been doing .,tell them what I've been doing .,tell,them,Def,pronoun,Anim,what I 've been doing,Indef,non,Inanim
we used to get the odd wack round the backside or something an I don't think it did us any harm .,did us any harm .,did,us,Def,pronoun,Anim,any harm,Indef,non,Inanim
gave Don a bit of a . bit of a shock,gave Don a bit of a . bit of a shock,gave,Don,Def-pn,non,Anim,a bit of a shock,Indef,non,Inanim
um telling someone you know what's gonna happen next <yip> yes,telling someone you know what's gonna happen next <>,telling,someone,Indef,non,Anim,what 's gonna happen next,Indef,non,Inanim
I shouldn't say that I tell her that all the time,tell her that,tell,her,Def,pronoun,Anim,that,Def,pronoun,Inanim
oh yeah . oh oh she gave me a couple of frights I'm I'm you know I'll never forget it's,gave me a couple of frights,gave,me,Def,pronoun,Anim,a couple of frights,Indef,non,Inanim
but you know she did . this woman took her into her house and gave her a chocolate biscuit -,gave her a chocolate biscuit -,gave,her,Def,pronoun,Anim,a chocolate biscuit,Indef,non,Inanim
mmm but yeah she gave me a few frights I can tell you,gave me a few frights,gave,me,Def,pronoun,Anim,a few frights,Indef,non,Inanim
 - um quiet sort of contented baby that never gave me any problems really -,gave me any problems,gave,me,Def,pronoun,Anim,any problems,Indef,non,Inanim
 - interested in food - you could give her <mmm> food and she didn't,give her <mmm> food,give,her,Def,pronoun,Anim,food,Indef,non,Inanim
so I think it gave me a lot of resources that I had to learn how to entertain myself and .,gave me a lot of resources,gave,me,Def,pronoun,Anim,a lot of resources,Indef,non,Inanim
tell us which train to get on and what . which platform -,tell us which train to get on and what . which platform -,tell,us,Def,pronoun,Anim,which train to get on and which platform,Indef,non,Inanim
and they would always tell us when to get off the train .,tell us when to get off the train .,tell,us,Def,pronoun,Anim,when to get off the train,Indef,non,Inanim
they gave me a wonderful send-off party in Brisbane .,gave me a wonderful send-off party,gave,me,Def,pronoun,Anim,a wonderful send off party,Indef,non,Inanim
probably eighteen months ago I gave him a warning < > that,gave him a warning,gave,him,Def,pronoun,Anim,a warning,Indef,non,Inanim
we have already given ahh Australia a little fright,given ahh Australia a little fright,given,Australia,Def-pn,non,Inanim,a little fright,Indef,non,Inanim
and they pay cash cos cos it cost them something like   four,cost them something like   four hundred and eighty dollars,cost,them,Def,pronoun,Anim,something like four hundred and eighty dollars,Indef,non,Inanim
she actually gave them a discount and then,gave them a discount,gave,them,Def,pronoun,Anim,a discount,Indef,non,Inanim
teach the younger children the lessons at Sunday School,teach the younger children the lessons,teach,the younger children,Def,non,Anim,the lessons,Def,non,Inanim
and yet . she was telling me last night how wonderful Adam's been and . helps,telling me last night how wonderful Adam's been,telling,me,Def,pronoun,Anim,how wonderful Adam 's been,Indef,non,Inanim
tell you that --,tell you that --,tell,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
sorry I can't give you a date,give you a date,give,you,Def,pronoun,Anim,a date,Indef,non,Inanim
so I was . busy . telling him how to do his maths and cause they had a basic maths portion of it .,telling him how to do his maths,telling,him,Def,pronoun,Anim,how to do his maths,Indef,non,Inanim
showing them how um other languages like .,showing them how um other languages like . um Latin and Greek . and French had sort of,showing,them,Def,pronoun,Anim,how other languages like Latin and Greek and French had,Indef,non,Inanim
So we'd kind of - give them this sort of rough idea of where we were where we might be,give them this sort of rough idea of where we were,give,them,Def,pronoun,Anim,this rough idea of where we were,Def,non,Inanim
but I think it's something that you have to do . you have to give them the benefit of the doubt you've got to .,give them the benefit of the doubt,give,them,Def,pronoun,Anim,the benefit of the doubt,Def,non,Inanim
we want to tell them what they want to hear .,tell them what they want to hear .,tell,them,Def,pronoun,Anim,what they want to hear,Indef,non,Inanim
or if they had given me a thousand dollars to go out and spend on myself and I 'd spent,given me a thousand dollars,given,me,Def,pronoun,Anim,a thousand dollars,Indef,non,Inanim
and and that that gives you a certain amount of self confidence,gives you a certain amount of self confidence that you can tackle whatever you . want to do .,gives,you,Def,pronoun,Anim,a certain amount of self confidence that you can tackle whatever you want to do,Indef,non,Inanim
and my parents tried hard to give us - opportunities as they came along .,give us - opportunities,give,us,Def,pronoun,Anim,opportunities,Indef,non,Inanim
and that sort of taught him a lesson a bit .,taught him a lesson,taught,him,Def,pronoun,Anim,a lesson,Indef,non,Inanim
showed me where the loos were .,showed me where the loos were .,showed,me,Def,pronoun,Anim,where the loos were,Indef,non,Inanim
showed me how things worked . what she did .,showed me how things worked . what she did . all this sort of thing .,showed,me,Def,pronoun,Anim,how things worked what she did all this sort of thing,Indef,non,Inanim
well he he's not really he he plays hard he gives everything a hundred and fifty percent .,gives everything a hundred and fifty percent .,gives,everything,Def,non,Inanim,a hundred and fifty percent,Indef,non,Inanim
now she's it's very full on this year so she's had to give up Hayley college wouldn't give her time off -,give her time off -,give,her,Def,pronoun,Anim,time off,Indef,non,Inanim
the thing about the ones I interviewed is they all showed me photos,showed me photos of their birth mothers .,showed,me,Def,pronoun,Anim,photos of their birth mothers,Indef,non,Inanim
doesn't give you much chance to sort of <no it doesn't>,give you much chance,give,you,Def,pronoun,Anim,much chance,Indef,non,Inanim
and it just gave you ideas how you can still extend them with without taking them apart from the others <mm>,gave you ideas how you can still extend them with without taking them apart from the others,gave,you,Def,pronoun,Anim,ideas how you can still extend them without taking them apart from the others,Indef,non,Inanim
so it ga~ gave me a lot of ideas how to work with them individually in group situations in a whole class situation .,gave me a lot of ideas how to work with them individually in group situations in a whole class situation .,gave,me,Def,pronoun,Anim,a lot of ideas how to work with them individually in group situations in a whole class situation,Indef,non,Inanim
did I tell you where we stayed ? <no> we stayed at Knox College in Dunedin .,tell you where we stayed ?,tell,you,Def,pronoun,Anim,where we stayed,Indef,non,Inanim
she gave her the equivalent of fifty cents -,gave her the equivalent of fifty cents -,gave,her,Def,pronoun,Anim,the equivalent of fifty cents,Def,non,Inanim
well now today I want to teach you how to use your fingers -,teach you how to use your fingers -,teach,you,Def,pronoun,Anim,how to use your fingers,Indef,non,Inanim
these friends um . sent us a subscription to . a magazine called .,sent us a subscription to . a magazine called . Arizona or something,sent,us,Def,pronoun,Anim,a subscription to a magazine called Arizona or something,Indef,non,Inanim
and also they used to send us a calendar usually of the Grand Canyon you know all the different shots and so on,send us a calendar usually of the Grand Canyon,send,us,Def,pronoun,Anim,a calendar usually of the Grand Canyon,Indef,non,Inanim
but I suppose your parents were concerned you see they gave you the opportunity they did the best for you,gave you the opportunity,gave,you,Def,pronoun,Anim,the opportunity,Def,non,Inanim
um but people go there for time out they go there for respite care you know give their relatives,give their relatives a break,give,their relatives,Def,non,Anim,a break,Indef,non,Inanim
um. then it's gonna cost me the same price again,cost me the same price,cost,me,Def,pronoun,Anim,the same price,Def,non,Inanim
interests we had my mother always tells me what a naughty little girl I was ahh --,tells me what a naughty little girl I was,tells,me,Def,pronoun,Anim,what a naughty little girl I was,Indef,non,Inanim
Dad used to train me up and tell me what to do . if it happened again .,tell me what to do . if it happened again .,tell,me,Def,pronoun,Anim,what to do if it happened again,Indef,non,Inanim
it was because I was constipated    so she was giving me .,giving me .   Andrew's liver salts,giving,me,Def,pronoun,Anim,Andrew's liver salts,Def,non,Inanim
and it really didn't seem to do Nicky any harm I don't think it did Linda much good .,do Nicky any harm,do,Nicky,Def-pn,non,Anim,any harm,Indef,non,Inanim
and it really didn't seem to do Nicky any harm I don't think it did Linda much good .,did Linda much good .,did,Linda,Def-pn,non,Anim,much good,Indef,non,Inanim
and they were so pleased with her they offered her a job -,offered her a job -,offered,her,Def,pronoun,Anim,a job,Indef,non,Inanim
from what I've heard Dad never told us much but from what I've heard,told us much,told,us,Def,pronoun,Anim,much,Indef,non,Inanim
and teaching oh I couldn't do that you can tell your mother that too,tell your mother that,tell,your mother,Def,non,Anim,that,Def,pronoun,Inanim
and gives me a brown eye -,gives me a brown eye -,gives,me,Def,pronoun,Anim,a brown eye,Indef,non,Inanim
I'll show you some of my embroidery in a minute um .,show you some of my embroidery,show,you,Def,pronoun,Anim,some of my embroidery,Indef,non,Inanim
none of those got made this time but . she she's made me a special recipe book and,made me a special recipe book,made,me,Def,pronoun,Anim,a special recipe book,Indef,non,Inanim
and I said everyone told me how wonderful French men were  and,told me how wonderful French men were,told,me,Def,pronoun,Anim,how wonderful French men were,Indef,non,Inanim
well . St Margaret's offered me a job,offered me a job,offered,me,Def,pronoun,Anim,a job,Indef,non,Inanim
they taught me a great deal in a lot of ways,taught me a great deal,taught,me,Def,pronoun,Anim,a great deal,Indef,non,Inanim
you know I felt that it's not that they were telling me that .,telling me that .,telling,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
when I mean the Government hasn't told them how much they're going to be able to have -,told them how much they're going to be able to have -,told,them,Def,pronoun,Anim,how much they 're going to be able to have,Indef,non,Inanim
but to show them what to do and who to ring and how to ring,show them what to do and who to ring and how to ring   and what's the language you use for ringing .,show,them,Def,pronoun,Anim,what to do and who to ring and how to ring and what 's the language you use for ringing,Indef,non,Inanim
and they would give her the words and things that she needed,give her the words and things that she needed,give,her,Def,pronoun,Anim,the words and things that she needed,Def,non,Inanim
when are you going to start teaching her English,teaching her English,teaching,her,Def,pronoun,Anim,English,Def-pn,non,Inanim
they hadn't given her any back pay .,given her any back pay .,given,her,Def,pronoun,Anim,any back pay,Indef,non,Inanim
I rang David to see if he and his brother would give me a ride into town,give me a ride into town,give,me,Def,pronoun,Anim,a ride into town,Indef,non,Inanim
modus vivendi to give our children .,give our children . a global perspective,give,our children,Def,non,Anim,a global perspective,Indef,non,Inanim
and I think it gives them a much wider perspective of .,gives them a much wider perspective of . of the world,gives,them,Def,pronoun,Anim,a much wider perspective of the world,Indef,non,Inanim
telling us what the girls have been doing and what to reinforce,telling us what the girls have been doing and what to reinforce,telling,us,Def,pronoun,Anim,what the girls have been doing,Indef,non,Inanim
so we're looking forward she she wrote us a,wrote us a lovely letter,wrote,us,Def,pronoun,Anim,a lovely letter,Indef,non,Inanim
ahh she wrote us a delightful letter .,wrote us a delightful letter .,wrote,us,Def,pronoun,Anim,a delightful letter,Indef,non,Inanim
you know sometimes we've had a month off now they give us a month break .,give us a month break .,give,us,Def,pronoun,Anim,a month break,Indef,non,Inanim
I mean they wanted me to give them things whatever they wanted <yeah>,give them things,give,them,Def,pronoun,Anim,things,Indef,non,Inanim
give us your give us your cup dear,give us your cup,give,us,Def,pronoun,Anim,your cup,Def,non,Inanim
going down the road and this guy was hitching a ride so I gave him a ride . <oh really>,gave him a ride .,gave,him,Def,pronoun,Anim,a ride,Indef,non,Inanim
so I gave him a lift and then I went out with him later on and he was a real nerd .,gave him a lift,gave,him,Def,pronoun,Anim,a lift,Indef,non,Inanim
showed her which way to go . and then she realised that she's in a really old uniform -,showed her which way to go .,showed,her,Def,pronoun,Anim,which way to go,Indef,non,Inanim
and so they were really really striving to give us an education cos neither of them had had any,give us an education,give,us,Def,pronoun,Anim,an education,Indef,non,Inanim
I used to tell them what they should be   doing,tell them what they should be   doing and what they shouldn't be doing,tell,them,Def,pronoun,Anim,what they should be doing and what they should n't be doing,Indef,non,Inanim
ohh well I'll have to tell you the funniest fishing story from the family .,tell you the funniest fishing story from the family .,tell,you,Def,pronoun,Anim,the funniest fishing story from the family,Def,non,Inanim
teach that's my husband and teach the boys how to fish .,teach the boys how to fish .,teach,the boys,Def,non,Anim,how to fish,Indef,non,Inanim
rather than catching the fish - but he decided to give them a lesson in how to cast a rod -,give them a lesson in how to cast a rod -,give,them,Def,pronoun,Anim,a lesson in how to cast a rod,Indef,non,Inanim
and was teach giving the boys another demonstration .,giving the boys another demonstration .,giving,the boys,Def,non,Anim,another demonstration,Indef,non,Inanim
all that all those restrictions really taught us how to um .,taught us how to um . climb up fire escapes  <>,taught,us,Def,pronoun,Anim,how to climb up fire escapes,Indef,non,Inanim
view and I'm entitled to it unless you show me some high court authority,show me some high court authority,show,me,Def,pronoun,Anim,some high court authority,Indef,non,Inanim
an adjournment for half an hour the judge said I'll give you 15 minutes,give you 15 minutes,give,you,Def,pronoun,Anim,15 minutes,Indef,non,Inanim
and that and then all his friends wrote him a letter,wrote him a letter,wrote,him,Def,pronoun,Anim,a letter,Indef,non,Inanim
and then they showed us a video of what our boat looks like,showed us a video of what our boat looks like,showed,us,Def,pronoun,Anim,a video of what our boat looks like,Indef,non,Inanim
so she's gonna show you it how it's all done /and,show you it how it's all done,show,you,Def,pronoun,Anim,how it 's all done,Indef,non,Inanim
. . . . /everyone/ gives me hassels about it eh .,gives me hassels about it,gives,me,Def,pronoun,Anim,hassels about it,Indef,non,Inanim
not giving them very much time to spend with their animal .,giving them very much time to spend with their animal .,giving,them,Def,pronoun,Anim,very much time to spend with their animal,Indef,non,Inanim
and if he had of offered me a job I probably wouldn't have taken it -,offered me a job,offered,me,Def,pronoun,Anim,a job,Indef,non,Inanim
and um . and he gave me the thumbs up . which was quite good,gave me the thumbs up .,gave,me,Def,pronoun,Anim,the thumbs up,Def,non,Inanim
and she goes to me . she gives me a light bulb,gives me a light bulb,gives,me,Def,pronoun,Anim,a light bulb,Indef,non,Inanim
and I said we can fully refund it or . give you a replacement <mmm hmm> .,give you a replacement,give,you,Def,pronoun,Anim,a replacement,Indef,non,Inanim
mmm . sometimes you just want to tell them where to go . but you can't,tell them where to go .,tell,them,Def,pronoun,Anim,where to go,Indef,non,Inanim
you know give it a go and.,give it a go,give,it,Def,pronoun,Inanim,a go,Indef,non,Inanim
gave him exercise and.,gave him exercise,gave,him,Def,pronoun,Anim,exercise,Indef,non,Inanim
to know that you didn't offer Brynmor   any,offer Brynmor   any of your delicious   cake ?,offer,Brynmor,Def-pn,non,Anim,any of your delicious cake,Indef,non,Inanim
not to teach you anything <yeah>   I,teach you anything,teach,you,Def,pronoun,Anim,anything,Indef,non,Inanim
yeah and they teach you   technique,teach you   technique and everything,teach,you,Def,pronoun,Anim,technique,Indef,non,Inanim
why don't you teach us how to do stuff ?,teach us how to do stuff ?,teach,us,Def,pronoun,Anim,how to do stuff,Indef,non,Inanim
and lent me her necklace so .,lent me her necklace,lent,me,Def,pronoun,Anim,her necklace,Def,non,Inanim
and then she cindy gave her a cuppa tea,gave her a cuppa tea,gave,her,Def,pronoun,Anim,a cuppa tea,Indef,non,Inanim
then we would have to pay them fifty bucks .,pay them fifty bucks . an hour,pay,them,Def,pronoun,Anim,fifty bucks an hour,Indef,non,Inanim
you don't tell them what you're studying,tell them what you're studying,tell,them,Def,pronoun,Anim,what you 're studying,Indef,non,Inanim
<oh> it's quite funny I gave him all my old notes     I,gave him all my old notes,gave,him,Def,pronoun,Anim,all my old notes,Def,non,Inanim
he wouldn't give my give me my stereo -,give me my stereo -,give,me,Def,pronoun,Anim,my stereo,Def,non,Inanim
he promised me .,promised me .   a stereo .,promised,me,Def,pronoun,Anim,a stereo,Indef,non,Inanim
<really> and um they didn't tell me anything   like,tell me anything   like that,tell,me,Def,pronoun,Anim,anything like that,Indef,non,Inanim
well cos you gave me that face you ju .,gave me that face,gave,me,Def,pronoun,Anim,that face,Def,non,Inanim
so they really can't . tell me what to do anyway you know,tell me what to do,tell,me,Def,pronoun,Anim,what to do,Indef,non,Inanim
outstanding memories ah yes my my older brother and myself he tormented me a lot um . he used to give me dead legs and . you know,give me dead legs,give,me,Def,pronoun,Anim,dead legs,Indef,non,Inanim
he said he'd pay me and he never did and I still hold him to that this day he he still thinks he owes me nothing but,owes me nothing,owes,me,Def,pronoun,Anim,nothing,Indef,non,Inanim
you should I'll give you my number and you can,give you my number,give,you,Def,pronoun,Anim,my number,Def,non,Inanim
I was waiting for him to give me a card or something <yeah>,give me a card or something,give,me,Def,pronoun,Anim,a card or something,Indef,non,Inanim
so I gave him a piece of <ha> paper and stuff so he gave me his number .,gave him a piece of <ha> paper,gave,him,Def,pronoun,Anim,a piece of paper,Indef,non,Inanim
so I gave him a piece of <ha> paper and stuff so he gave me his number .,gave me his number .,gave,me,Def,pronoun,Anim,his number,Def,non,Inanim
yeah . yeah . so I didn't give him my number <no>,give him my number,give,him,Def,pronoun,Anim,my number,Def,non,Inanim
while I working at Nature Discoveries just to give me a little bit extra --,give me a little bit extra --,give,me,Def,pronoun,Anim,a little bit extra,Indef,non,Inanim
and I was sitting down reading one boy a story and .,reading one boy a story,reading,one boy,Indef,non,Anim,a story,Indef,non,Inanim
and then he'd say you're not my mum you can't tell me what to do -,tell me what to do -,tell,me,Def,pronoun,Anim,what to do,Indef,non,Inanim
Mr B all these cakes and they were the best cakes in the world and gave me this certificate .,gave me this certificate .,gave,me,Def,pronoun,Anim,this certificate,Def,non,Inanim
and I . one of my my friends gave me um . like a half yard glass .,gave me um . like a half yard glass .,gave,me,Def,pronoun,Anim,a half yard glass,Indef,non,Inanim
oh they gave me a stereo and a trip to Australia .,gave me a stereo and a trip to Australia .,gave,me,Def,pronoun,Anim,a stereo and a trip to Australia,Indef,non,Inanim
yeah so that was pretty good . and my sister gave me a really nice l~ necklace and bracelet .,gave me a really nice l~ necklace and bracelet .,gave,me,Def,pronoun,Anim,a really nice necklace and bracelet,Indef,non,Inanim
or we might've even just got the board out ourselves and tried to teach ourselves how to do it -,teach ourselves how to do it -,teach,ourselves,Def,pronoun,Anim,how to do it,Indef,non,Inanim
but um . dad . would've taught us a wee bit but then we went to swimming lessons .,taught us a wee bit,taught,us,Def,pronoun,Anim,a wee bit,Indef,non,Inanim
he used to teach us different like . backstroke or I remember him teaching me butterfly .,teach us different like . backstroke,teach,us,Def,pronoun,Anim,different backstroke,Indef,non,Inanim
he used to teach us different like . backstroke or I remember him teaching me butterfly .,teaching me butterfly .,teaching,me,Def,pronoun,Anim,butterfly,Indef,non,Inanim
I think dad was the one that taught us how to bike ride to .,taught us how to bike ride,taught,us,Def,pronoun,Anim,how to bike ride,Indef,non,Inanim
yeah . dad taught us how to drive me and my sister .   I,taught us how to drive,taught,us,Def,pronoun,Anim,how to drive,Indef,non,Inanim
<mmm> they give you only five percent or something but yeah .,give you only five percent or something,give,you,Def,pronoun,Anim,only five percent or something,Indef,non,Inanim
like . complimenting what you have done and . giving you praise for ev~ everything so it felt like I was,giving you praise for ev~ everything,giving,you,Def,pronoun,Anim,praise for everything,Indef,non,Inanim
yeah give me encouragement and he was . good he was funny,give me encouragement,give,me,Def,pronoun,Anim,encouragement,Indef,non,Inanim
oh you've finished that wait here I'll give you another job .,give you another job .,give,you,Def,pronoun,Anim,another job,Indef,non,Inanim
and she wanted to put me in the laundry cos she knew I was a good worker and I was like yeah no that's fine I'll give it a go .,give it a go .,give,it,Def,pronoun,Inanim,a go,Indef,non,Inanim
she's offered us a pair of little ice skates for when he's a year old,offered us a pair of little ice skates,offered,us,Def,pronoun,Anim,a pair of little ice skates,Indef,non,Inanim
you have to tell me that,tell me that,tell,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
it just gets from a big company and they give you the overload .,give you the overload .,give,you,Def,pronoun,Anim,the overload,Def,non,Inanim
yeah cos Aaron didn't really tell me what it was,tell me what it was,tell,me,Def,pronoun,Anim,what it was,Indef,non,Inanim
cos I I'd like I'd get him to go oh can you give me a hand ?   instead,give me a hand ?,give,me,Def,pronoun,Anim,a hand,Indef,non,Inanim
giving me a hand he will do it cos he's one of these people who doesn't,giving me a hand,giving,me,Def,pronoun,Anim,a hand,Indef,non,Inanim
we've just been going doing one for Aaron and that just give him a surprise one but he didn't actually want one .,give him a surprise,give,him,Def,pronoun,Anim,a surprise,Indef,non,Inanim
it will cost you a wee bit more - <yeah>,cost you a wee bit more -,cost,you,Def,pronoun,Anim,a wee bit more,Indef,non,Inanim
um the guy showed us how to make it he went along and gave everyone advice,showed us how to make it,showed,us,Def,pronoun,Anim,how to make it,Indef,non,Inanim
um the guy showed us how to make it he went along and gave everyone advice,gave everyone advice,gave,everyone,Def,non,Anim,advice,Indef,non,Inanim
and she showed us how to make a tomato sauce base to go on it . as well,showed us how to make a tomato sauce base to go on it .,showed,us,Def,pronoun,Anim,how to make a tomato sauce base to go on it,Indef,non,Inanim
sort of gave it more of a colouring than a flavour .,gave it more of a colouring than a flavour .,gave,it,Def,pronoun,Inanim,more of a colouring than a flavour,Indef,non,Inanim
he was showing me how to lock the house and deadlock it and everything .,showing me how to lock the house,showing,me,Def,pronoun,Anim,how to lock the house,Indef,non,Inanim
chelle can you lock the door . <right> but he had to go and show me every single lock,show me every single lock,show,me,Def,pronoun,Anim,every single lock,Def,non,Inanim
everythink <> he had to show me everything what to do and I just got furious,show me everything what to do,show,me,Def,pronoun,Anim,everything what to do,Def,non,Inanim
give me somethink and I give her nothink so I got her a little easter egg,give me somethink,give,me,Def,pronoun,Anim,something,Indef,non,Inanim
give me somethink and I give her nothink so I got her a little easter egg,give her nothink,give,her,Def,pronoun,Anim,nothing,Indef,non,Inanim
well my . dad sold Jeremy's father motorbikes to for university,sold Jeremy's father motorbikes,sold,Jeremy's father,Def,non,Anim,motorbikes,Indef,non,Inanim
gave us his phone number and said look if they come back .,gave us his phone number,gave,us,Def,pronoun,Anim,his phone number,Def,non,Inanim
so can I give her a balloon an oh it was just so funny an an people were asking me .,give her a balloon,give,her,Def,pronoun,Anim,a balloon,Indef,non,Inanim
I'm gonna tell you one great one big long word in a minute so you're going to have to type it out antidisestablishmentarianism .,tell you one great big long word,tell,you,Def,pronoun,Anim,one great big long word,Indef,non,Inanim
<mmm> I'll give you my number,give you my number,give,you,Def,pronoun,Anim,my number,Def,non,Inanim
or give us a call while you're up there there <mmm>,give us a call,give,us,Def,pronoun,Anim,a call,Indef,non,Inanim
I gave Terry a call and um . we went out .   no,gave Terry a call,gave,Terry,Def-pn,non,Anim,a call,Indef,non,Inanim
this Dodge truck I think she only cost me about um .,cost me about um .   two thousand or something,cost,me,Def,pronoun,Anim,about two thousand or something,Indef,non,Inanim
and you'd pay the family whatever they were going to send in <mmm> or something like,pay the family whatever they were going to send in,pay,the family,Def,non,Anim,whatever they were going to send in,Indef,pronoun,Inanim
and she just turned round and gave him as good as what . she got <mmm>,gave him as good as what . she got,gave,him,Def,pronoun,Anim,as good as what she got,Indef,non,Inanim
you know only Dad could give her the bottle so .   so,give her the bottle,give,her,Def,pronoun,Anim,the bottle,Def,non,Inanim
<> what on earth is x im? I said tell me what it is I said,tell me what it is,tell,me,Def,pronoun,Anim,what it is,Indef,non,Inanim
so it gave me a bit more um leverage . but everything felt like it was like that,gave me a bit more um leverage .,gave,me,Def,pronoun,Anim,a bit more leverage,Indef,non,Inanim
I can't get ya know so . you shuffle along the wing I'll show you a photo later,show you a photo,show,you,Def,pronoun,Anim,a photo,Indef,non,Inanim
he tells you when to turn you gotta get on course you gotta get your target right .,tells you when to turn,tells,you,Def,pronoun,Anim,when to turn,Indef,non,Inanim
if I'd known I was coming first it would've given me that extra incentive to .,given me that extra incentive,given,me,Def,pronoun,Anim,that extra incentive,Def,non,Inanim
oh I didn't realize that . no cos I didn't know her name ya never told me her name but .,told me her name,told,me,Def,pronoun,Anim,her name,Def,non,Inanim
an he was telling me that an she won . the Queenstown one or something,telling me that,telling,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
n if you're running the business you've got to give them s incentive an,give them s incentive,give,them,Def,pronoun,Anim,incentive,Indef,non,Inanim
not yet . I'll give her a ring in another . couple of weeks .,give her a ring,give,her,Def,pronoun,Anim,a ring,Indef,non,Inanim
ha . yeah . um yeah cos Tracey gave me a lift out there at seven o'clock -,gave me a lift out there,gave,me,Def,pronoun,Anim,a lift out there,Indef,non,Inanim
I didn't learn that in biology . <oh> somebody else told me that .,told me that .,told,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
um . she yeah she taught the Westport girls . a lot .,taught the Westport girls . a lot .,taught,the Westport girls,Def,non,Anim,a lot,Indef,non,Inanim
I use my education as an excuse and he'll tell me this oh you just use that as a excuse ?,tell me this,tell,me,Def,pronoun,Anim,this,Def,pronoun,Inanim
he gave me a bit a basic . basic . introduction to how these people wanted what they wanted .,gave me a bit a basic . basic . introduction to how these people wanted what they wanted .,gave,me,Def,pronoun,Anim,a basic introduction to how these people wanted what they wanted,Indef,non,Inanim
they just absolutely hugged me . because I gave them a basic . thing .,gave them a basic . thing .,gave,them,Def,pronoun,Anim,a basic thing,Indef,non,Inanim
. and it will tell you . um how much you made in the week,tell you . um how much you made in the week,tell,you,Def,pronoun,Anim,how much you made in the week,Indef,non,Inanim
. like um say you've made two . you gave me two hundred dollars on Monday,gave me two hundred dollars,gave,me,Def,pronoun,Anim,two hundred dollars,Indef,non,Inanim
with the other one to tell me how much you've made for the whole week,tell me how much you've made for the whole week,tell,me,Def,pronoun,Anim,how much you 've made for the whole week,Indef,non,Inanim
and having um . even like being called down to checkout and that sort of thing gives you   a,gives you   a wee bit more variety,gives,you,Def,pronoun,Anim,a wee bit more variety,Indef,non,Inanim
big hunt and they give Mame the worst horse in the whole place,give Mame the worst horse in the whole place,give,Mame,Def-pn,non,Anim,the worst horse in the whole place,Def,non,Anim
I'll send you a ticket and they got my ticket in the mail like within a week and .,send you a ticket,send,you,Def,pronoun,Anim,a ticket,Indef,non,Inanim
give me a break  <> come on you know .,give me a break  <>,give,me,Def,pronoun,Anim,a break,Indef,non,Inanim
to have a good time and you know give them work and stuff .,give them work and stuff .,give,them,Def,pronoun,Anim,work and stuff,Indef,non,Inanim
so at the moment my friend Hester's like given me all of her books on her bookshelf,given me all of her books on her bookshelf,given,me,Def,pronoun,Anim,all of her books on her bookshelf,Def,non,Inanim
so he basically I taught me the whole lot,taught me the whole lot,taught,me,Def,pronoun,Anim,the whole lot,Def,non,Inanim
<yeah> um she's . her and I are giving Michelle a year .,giving Michelle a year .,giving,Michelle,Def-pn,non,Anim,a year,Indef,non,Inanim
she gave mum a fright though,gave mum a fright,gave,mum,Def-pn,non,Anim,a fright,Indef,non,Inanim
<yeah> look in the front of the phone book and it tells you <yeah>,tells you <yeah>   how many hours . ahead or behind they are,tells,you,Def,pronoun,Anim,how many hours ahead or behind they are,Indef,non,Inanim
I hope it breaks down on him coz I can't give him a,give him a   tow < >,give,him,Def,pronoun,Anim,a tow,Indef,non,Inanim
tow < > teach him a lesson or two < > leave me here,teach him a lesson or two < >,teach,him,Def,pronoun,Anim,a lesson or two,Indef,non,Inanim
Income Support to find out whether they're going to give me any money till um,give me any money,give,me,Def,pronoun,Anim,any money,Indef,non,Inanim
sorry we can't give you an appointment,give you an appointment,give,you,Def,pronoun,Anim,an appointment,Indef,non,Inanim
I said he said who is it with? so I told him -,told him - who it was with,told,him,Def,pronoun,Anim,who it was with,Indef,non,Inanim
and taught herself how to how to teach me how to read <yeah>,taught herself how to how to teach me how to read,taught,herself,Def,pronoun,Anim,how to teach me how to read,Indef,non,Inanim
and taught herself how to how to teach me how to read <yeah>,taught herself how to how to teach me how to read,teach,me,Def,pronoun,Anim,how to read,Indef,non,Inanim
they'd give you a plastic bag full of milk -,give you a plastic bag full of milk -,give,you,Def,pronoun,Anim,a plastic bag full of milk,Indef,non,Inanim
that you stuck a straw into and they'd give you an apple .,give you an apple .,give,you,Def,pronoun,Anim,an apple,Indef,non,Inanim
you know cos they give you fifty p and stuff and,give you fifty p,give,you,Def,pronoun,Anim,fifty p,Indef,non,Inanim
