Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
and I drive right to the far corner of this car park .,the far corner of this car park .,OF,this car park,Def,n,Inanim,the far corner,n,Inanim
of this car park in the darkest corner I could find,the far corner  of this car park,OF,this car park,Def,n,Inanim,the far corner,n,Inanim
sort of down right down the middle of this car park,the middle of this car park,OF,this car park,Def,n,Inanim,the middle,n,Inanim
and I've got ten litres of paint floating around in the back of the van so -,the back of the van,OF,the van,Def,n,Inanim,the back,n,Inanim
through the back of your car .,the back of your car .,OF,your car,Def,n,Inanim,the back,n,Inanim
he just sort of sighed on the other end of the phone,the other end of the phone,OF,the phone,Def,n,Inanim,the other end,n,Inanim
so then I had to borrow the tradesman's cell phone,the tradesman's cell phone,S,the tradesman,Def,n,Anim,cell phone,n,Inanim
that was probably the worst first day of my life I've ever had .,the worst first day of my life,OF,my life,Def,n,Inanim,the worst first day,n,Inanim
all up the sides of the walls of this van and,the sides of the walls of this van,OF,the walls of this van,Def,n,Inanim,the sides,n,Inanim
all up the sides of the walls of this van and,the walls of this van,OF,this van,Def,n,Inanim,the walls,n,Inanim
oh I gave him a day's wages for it .,a day's wages,S,a day,Indef,n,Inanim,wages,n,Inanim
two or three day's wages .,the first two  two or three day's wages .,S,the first two or three day,Def,n,Inanim,wages,n,Inanim
looks like looked like a wrecker's yard .,a wrecker's yard .,S,a wrecker,Indef,n,Anim,yard,n,Inanim
Mike's Mike's friends are quite friendly ah   . so uh .,Mike's friends,S,Mike,Def-pn,n,Anim,friends,n,Anim
you know dealer's house or something .,a   you know dealer's house,S,a dealer,Indef,n,Anim,house,n,Inanim
the UK . oh it's just the quality of life you know I wouldn't get very good wages in the UK .,the quality of life,OF,life,Indef,n,Inanim,the quality,n,Inanim
oh nah it was about um Hayden's father .  um .,Hayden's father .,S,Hayden,Def-pn,n,Anim,father,n,Anim
Hayden's father's um <mmm> not too not too good,Hayden's father's,S,Hayden,Def-pn,n,Anim,father,n,Anim
ah luckily down the other end of the bar so he was out of um .,the other end of the bar,OF,the bar,Def,n,Inanim,the other end,n,Inanim
not about Hayden's Dad so much  but,Hayden's Dad,S,Hayden,Def-pn,n,Anim,Dad,n,Anim
David's sister . she's like twenty six -   or,David's sister .,S,David,Def-pn,n,Anim,sister,n,Anim
the other side of the world the next day,the other side of the world,OF,the world,Def,n,Inanim,the other side,n,Inanim
pull over to the side of the road -   didn't,the side of the road -,OF,the road,Def,n,Inanim,the side,n,Inanim
pulled over to the side of the road .,the side of the road .,OF,the road,Def,n,Inanim,the side,n,Inanim
on the other side of the road . sat back .,the other side of the road .,OF,the road,Def,n,Inanim,the other side,n,Inanim
<no> with those four guys edge of the bridge .  they're all stand the,the edge of the bridge .,OF,the bridge,Def,n,Inanim,the edge,n,Inanim
<real> well bit higher than the point of that roof,the point of that roof,OF,that roof,Def,n,Inanim,the point,n,Inanim
pretty much saved a guy's life,a guy's life,S,a guy,Indef,n,Anim,life,n,Inanim
so he was up the other end of the room .,the other end of the room .,OF,the room,Def,n,Inanim,the other end,n,Inanim
Jill's husband -,Jill's husband -,S,Jill,Def-pn,n,Anim,husband,n,Anim
sister's name,your . sister's name,S,your sister,Def,n,Anim,name,n,Inanim
Sharon's husband,Sharon's husband,S,Sharon,Def-pn,n,Anim,husband,n,Anim
the performance side of the course,the performance side of the course,OF,the course,Def,n,Inanim,the performance side,n,Inanim
of the year to it .,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
was very cool was going to Neil's place -,Neil's place -,S,Neil,Def-pn,n,Anim,place,n,Inanim
eating Neil's food  <> -,Neil's food,S,Neil,Def-pn,n,Anim,food,n,Inanim
by the end of the night like,the end of the night,OF,the night,Def,n,Inanim,the end,n,Inanim
most of the floor of the tent .,the floor of the tent .,OF,the tent,Def,n,Inanim,the floor,n,Inanim
and you weren't ss- . you didn't you didn't know whether it was somebody's dream .,somebody's dream .,S,somebody,Indef,n,Anim,dream,n,Inanim
and that's sort of a big deal in the beginning of the story <yup>,the beginning of the story,OF,the story,Def,n,Inanim,the beginning,n,Inanim
they've just set up their mud huts nobody has to worry about ownership of anything - <right>,ownership of anything -,OF,anything,Indef,n,Inanim,ownership,n,Inanim
man's civilisation to more of an industrial age .,man's civilisation,S,man,Indef,n,Anim,civilisation,n,Inanim
and that's sort of the end of the story -,the end of the story -,OF,the story,Def,n,Inanim,the end,n,Inanim
the novels of Spanish culture type sort of thing <mmm>,the novels of Spanish culture,OF,Spanish culture,Indef,n,Inanim,the novels,n,Inanim
a movie round at my . um mother's boyfriend's house .,my . um mother's boyfriend's,S,my mother,Def,n,Anim,boyfriend,n,Anim
a movie round at my . um mother's boyfriend's house .,my . um mother's boyfriend's house .,S,my mother's boyfriend,Def,n,Anim,house,n,Inanim
two year's time I'll give it another go .,two year's time,S,two year,Indef,n,Inanim,time,n,Inanim
um but at the end of the day I'm going .,the end of the day,OF,the day,Def,n,Inanim,the end,n,Inanim
busiest time of year would be probably between December to .,busiest time of year,OF,year,Indef,n,Inanim,busiest time,n,Inanim
February towards the end of March .,the end of March .,OF,March,Def-pn,n,Inanim,the end,n,Inanim
so we had to sleep in the middle of the riverbed which was .,the middle of the riverbed,OF,the riverbed,Def,n,Inanim,the middle,n,Inanim
a little bit scary but being stuck in the middle of nowhere like that,the middle of nowhere,OF,nowhere,Indef,n,Inanim,the middle,n,Inanim
um headed into Queenstown . Milford . bottom of the South Island - -,bottom of the South Island - -,OF,the South Island,Def,n,Inanim,bottom,n,Inanim
and then had a week's holiday after that where we went round the North Island,a week's holiday,S,a week,Indef,n,Inanim,holiday,n,Inanim
with the m~majority of the time .,the m~majority of the time .,OF,the time,Def,n,Inanim,the majority,n,Inanim
I've also got . on my mother's side . a step brother and a sister they're like,my mother's side .,S,my mother,Def,n,Anim,side,n,Inanim
thirty . or something ah and on my dad's side - uh his girlfriend's got - three sons,my dad's side -,S,my dad,Def,n,Anim,side,n,Inanim
the hall was the best ever time of my life,the best ever time of my life,OF,my life,Def,n,Inanim,the best ever time,n,Inanim
 - for the morning part of the shift and then er some of them one of them might start at ten and work till four  . or,the morning part of the shift,OF,the shift,Def,n,Inanim,the morning part,n,Inanim
. like say my old manager's fortieth,my old manager's fortieth,S,my old manager,Def,n,Anim,fortieth,n,Inanim
er my girlfriend's name is Victoria,my girlfriend's name,S,my girlfriend,Def,n,Anim,name,n,Inanim
 - it's looking like I'll be there probably at least till the end of this year,the end of this year,OF,this year,Def,n,Inanim,the end,n,Inanim
 -<uhmmm> you know I I know the job like the back of my hand,the back of my hand,OF,my hand,Def,n,Inanim,the back,n,Inanim
 - probably maybe something along the lines of like geosciences,the lines of like geosciences,OF,geosciences,Indef,n,Inanim,the lines,n,Inanim
. quite the opposite of its name really isn't it .<mmm> it's more theory than anything and  -<yeah,the opposite of its name,OF,its name,Def,n,Inanim,the opposite,n,Inanim
my name is Rico Campbell <mmm> . and my birthday is the twenty third of May nineteen eighty five .,the twenty third of May,OF,May,Def-pn,n,Inanim,the twenty third,n,Inanim
it's not really wrecking anyone's property it's right behind the train tracks you know where . um the factories are and .,anyone's property,S,anyone,Indef,n,Anim,property,n,Inanim
people's letter boxes or fences <mmm hmm> .,people's letter boxes or fences,S,people,Indef,n,Anim,letter boxes or fences,n,Inanim
everyone has their own style and everything and . um you combine that with other people's . better style or you <mmm> .,other people's . better style,S,other people,Indef,n,Anim,better style,n,Inanim
and . the ball . missed and m~ my and went through um . went through my friend's fingers and into the window .,my friend's fingers,S,my friend,Def,n,Anim,fingers,n,Inanim
we really wanted that and . so . the windows up the top of the building . were actually broken anyway .,the top of the building .,OF,the building,Def,n,Inanim,the top,n,Inanim
um my fitness training for the police - um . and just for the support of my gym .,the support of my gym .,OF,my gym,Def,n,Inanim,the support,n,Inanim
um rocks were coming off the back of the gun it looked like it was actually off the Dragon Ball Z violence three D styles <yeah> .,the back of the gun,OF,the gun,Def,n,Inanim,the back,n,Inanim
yeah so they were gonna send me up on the twentieth of this month . which has just been and gone .,the twentieth of this month .,OF,this month,Def,n,Inanim,the twentieth,n,Inanim
at the prime of their lives you know .,the prime of their lives,OF,their lives,Def,n,Inanim,the prime,n,Inanim
I said and so you can't play that game on your friend's PS2 ? -,your friend's PS2 ? -,S,your friend,Def,n,Anim,PS2,n,Inanim
his girlfriend's shirt waddn't it?,his girlfriend's shirt,S,his girlfriend,Def,n,Anim,shirt,n,Inanim
well I shooted half with someone else ? Ticher's son ?,Ticher's son ?,S,Ticher,Def-pn,n,Anim,son,n,Anim
nah it was Megan's when we went up to Tauranga to Dianne's wedding she .,Dianne's wedding,S,Dianne,Def-pn,n,Anim,wedding,n,Inanim
and Spain - with Mark Harding just on the back of his motorbike,the back of his motorbike,OF,his motorbike,Def,n,Inanim,the back,n,Inanim
you just - become mimicking other people's speech patterns .,other people's speech patterns .,S,other people,Indef,n,Anim,speech patterns,n,Inanim
upturned and on the instep of my feet .,the instep of my feet .,OF,my feet,Def,n,Inanim,the instep,n,Inanim
that was the sound of a cigarette lighter -,the sound of a cigarette lighter -,OF,a cigarette lighter,Indef,n,Inanim,the sound,n,Inanim
I've got the flush mounts in the doors of the car .,the doors of the car .,OF,the car,Def,n,Inanim,the doors,n,Inanim
then . friend's father said .,friend's father,S,friend,Indef,n,Anim,father,n,Anim
oh we just pulled over the side of the road,the side of the road,OF,the road,Def,n,Inanim,the side,n,Inanim
no we weren't in the middle of the town for long enough but .,the middle of the town,OF,the town,Def,n,Inanim,the middle,n,Inanim
yeah everyone's going out that way we're talkin to a real estate guy . Bronnie's brother's mate .,Bronnie's brother's,S,Bronnie,Def-pn,n,Anim,brother,n,Anim
yeah everyone's going out that way we're talkin to a real estate guy . Bronnie's brother's mate .,Bronnie's brother's mate .,S,Bronnie's brother,Def,n,Anim,mate,n,Anim
and my mate's sister . and Bronnie was in it .,my mate's sister .,S,my mate,Def,n,Anim,sister,n,Anim
went home got changed and then went back round to . Bronnie's parents and,Bronnie's parents,S,Bronnie,Def-pn,n,Anim,parents,n,Anim
so that cost . cost Bronnie's old man a fortune but . I think he enjoyed it --,Bronnie's old man,S,Bronnie,Def-pn,n,Anim,old man,n,Anim
oh Bronnie's parents .,Bronnie's parents .,S,Bronnie,Def-pn,n,Anim,parents,n,Anim
so Bronnie's brother come round one morning and .,Bronnie's brother,S,Bronnie,Def-pn,n,Anim,brother,n,Anim
that's right when I when I see the results in the press at the end of the year I can say I helped Michael get that mark,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
/the history of the world/,/the history of the world/,OF,the world,Def,n,Inanim,the history,n,Inanim
down the side of the drive . you know where the gravel finishes .,the side of the drive .,OF,the drive,Def,n,Inanim,the side,n,Inanim
it was . and ah . Mama's friend Helen from . Waimate or something was there .,Mama's friend,S,Mama,Def-pn,n,Anim,friend,n,Anim
yeah that's where we got that from . from Nell's room .  /we,Nell's room .,S,Nell,Def-pn,n,Anim,room,n,Inanim
yeah - I don't . I don't . I don't think um . Auntie Nell's one'll be a real .,Auntie Nell's one'll,S,Auntie Nell,Def-pn,n,Anim,one,n,Inanim
so they cut the carpet . out of the bottom of the cupboards and glued it back on,the bottom of the cupboards,OF,the cupboards,Def,n,Inanim,the bottom,n,Inanim
the guy - the Kelly's mate --,the Kelly's mate --,S,the Kelly,Def,n,Anim,mate,n,Anim
he's the head of the boxing gym apparently,the head of the boxing gym,OF,the boxing gym,Def,n,Inanim,the head,n,Inanim
Will Haley's ones from . is it Whangarei? -,Will Haley's ones,S,Will Haley,Def-pn,n,Anim,ones,n,Inanim
yeah Will Haley's boxing videos .,Will Haley's boxing videos .,S,Will Haley,Def-pn,n,Anim,boxing videos,n,Inanim
cos we're down the bottom of the earth and <yeah> they can speak quite clearly to our . ham operators here -,the bottom of the earth,OF,the earth,Def,n,Inanim,the bottom,n,Inanim
um . yeah . just gives me a chance to unwind at the end of the week . um .,the end of the week .,OF,the week,Def,n,Inanim,the end,n,Inanim
yeah . it's one of the more interesting parts of the course . not many courses that you get that in,the more interesting parts of the course .,OF,the course,Def,n,Inanim,the more interesting parts,n,Inanim
um . no it's . probably the trickiest part of the course . um .,the trickiest part of the course .,OF,the course,Def,n,Inanim,the trickiest part,n,Inanim
my girlfriend's family comes from there .,my girlfriend's family,S,my girlfriend,Def,n,Anim,family,n,Anim
my girlfriend's mother is . sorry a Mexican American .,my girlfriend's mother,S,my girlfriend,Def,n,Anim,mother,n,Anim
Canterbury Draught . the taste of a new generation,the taste of a new generation,OF,a new generation,Indef,n,Inanim,the taste,n,Inanim
ooh stayed at this house . my stepbrother's house -,my stepbrother's house -,S,my stepbrother,Def,n,Anim,house,n,Inanim
it's either when your face hits smacks into the ground or it's back of someones' head . <> . she's pretty out of it too,back of someones' head . <> .,OF,someones' head,Def,n,Inanim,back,n,Inanim
it's either when your face hits smacks into the ground or it's back of someones' head . <> . she's pretty out of it too,someones' head . <> .,S,someones,Indef,n,Anim,head,n,Inanim
what's it . it was a TR250 . and had it for three days and jus went around a mate's place and we're drinking .,a mate's place,S,a mate,Indef,n,Anim,place,n,Inanim
I um - yeah I felt it . um . in the middle of the game .,the middle of the game .,OF,the game,Def,n,Inanim,the middle,n,Inanim
it was making me sick in the middle of the train I . I was just .,the middle of the train,OF,the train,Def,n,Inanim,the middle,n,Inanim
and myself going . to the back of the ah train and going into . into the um .,the back of the ah train,OF,the train,Def,n,Inanim,the back,n,Inanim
into the . toilet . <> of these oh this train .,the . toilet . <> of these oh this train .,OF,these oh this train,Def,n,Inanim,the toilet,n,Inanim
and sort of meet on the other side . <mmm> of the border um .,the other side . <mmm> of the border,OF,the border,Def,n,Inanim,the other side,n,Inanim
last emperor of China . lived and ah . some amazing . amazing history there . yeah -,the um . last emperor of China .,OF,China,Def-pn,n,Inanim,the last emperor,n,Anim
and um - and the other for the people . and um . and the foreigners' money actually .,the foreigners' money,S,the foreigners,Def,n,Anim,money,n,Inanim
ah . change your money into the people's money . mmm but it's . that's .,the people's money .,S,the people,Def,n,Anim,money,n,Inanim
um ah it was all in . um it was in the people's market <mm> . and um .,the people's market,S,the people,Def,n,Anim,market,n,Inanim
this so it was all people's money you had to buy it so you had .,people's money,S,people,Indef,n,Anim,money,n,Inanim
experience worry . because of the amount of money that we were . changing . <mmm>,the amount of money that we were . changing .,OF,money that we were changing,Indef,n,Inanim,the amount,n,Inanim
last week of July and the first week of August I've had an accident    . ahh,last week of July,OF,July,Def-pn,n,Inanim,last week,n,Inanim
last week of July and the first week of August I've had an accident    . ahh,the first week of August,OF,August,Def-pn,n,Inanim,the first week,n,Inanim
when I crashed my mate's motorbike .,my mate's motorbike .,S,my mate,Def,n,Anim,motorbike,n,Inanim
and was going down the back of Wigram road -,the back of Wigram road -,OF,Wigram road,Def-pn,n,Inanim,the back,n,Inanim
I hit the back corner of the car . which wrote the car off,the back corner of the car .,OF,the car,Def,n,Inanim,the back corner,n,Inanim
and they said I went so high that I went out the view of the headlights . <gosh>,the view of the headlights .,OF,the headlights,Def,n,Inanim,the view,n,Inanim
I was doing a hundred and thirty Ks when I hit the back of the reversing car    -,the back of the reversing car    -,OF,the reversing car,Def,n,Inanim,the back,n,Inanim
I was flatting with . my girlfriend's cousin because my girlfriend was on holiday .,my girlfriend's cousin,S,my girlfriend,Def,n,Anim,cousin,n,Anim
so I could see out the top of my eyelid . <oh really ?>,the top of my eyelid .,OF,my eyelid,Def,n,Inanim,the top,n,Inanim
yeah could hold hold my eyelid on my eye and look out the top of my eyelid . <oh>,the top of my eyelid .,OF,my eyelid,Def,n,Inanim,the top,n,Inanim
and cut me right between the eyes and on the side of the head -,the side of the head -,OF,the head,Def,n,Inanim,the side,n,Inanim
anyway the guy went away . and um I was jammed into the corner of the toilet,the corner of the toilet,OF,the toilet,Def,n,Inanim,the corner,n,Inanim
and um they used . they used Rob's head to break through the toilet door -,Rob's head,S,Rob,Def-pn,n,Anim,head,n,Inanim
my sister's boyfriend's mate in Rangior ahh . oh where is it ? .,my sister's boyfriend's,S,my sister,Def,n,Anim,boyfriend,n,Anim
my sister's boyfriend's mate in Rangior ahh . oh where is it ? .,my sister's boyfriend's mate,S,my sister's boyfriend,Def,n,Anim,mate,n,Anim
my sister's boyfriend's mate rung up from Rakaia and said,my sister's boyfriend's,S,my sister,Def,n,Anim,boyfriend,n,Anim
my sister's boyfriend's mate rung up from Rakaia and said,my sister's boyfriend's mate,S,my sister's boyfriend,Def,n,Anim,mate,n,Anim
and . Diana's stepdad . goes to court soon for .,Diana's stepdad .,S,Diana,Def-pn,n,Anim,stepdad,n,Anim
the insides of the mags <yeah> getting that done in three weeks when I get the new tyres .,the insides of the mags,OF,the mags,Def,n,Inanim,the insides,n,Inanim
nah    I ripped the stripe off the side of my car,the side of my car,OF,my car,Def,n,Inanim,the side,n,Inanim
and so we were and then just the other side of the Glenavy --,the other side of the Glenavy --,OF,the Glenavy,Def-pn,n,Inanim,the other side,n,Inanim
and come back on Sunday we stayed at a friend's place over there<yeah>,a friend's place,S,a friend,Indef,n,Anim,place,n,Inanim
concealment and the spiritual aspect of martial arts -,the spiritual aspect of martial arts -,OF,martial arts,Indef,n,Inanim,the spiritual aspect,n,Inanim
in . the form of a triangle . and then you have various .,the form of a triangle .,OF,a triangle,Indef,n,Inanim,the form,n,Inanim
extremely interesting . and the amounts of energy you actually transfer,the amounts of energy you actually transfer,OF,energy you actually transfer,Indef,n,Inanim,the amounts,n,Inanim
depends on the participation of the people involved,the participation of the people involved,OF,the people involved,Def,n,Anim,the participation,n,Inanim
of such a venture he . then found it was extremely --,the profitability and the liability . of such a venture,OF,such a venture,Indef,n,Inanim,the profitability and the liability,n,Inanim
the boredoms and the frustrations of modern life .,the boredoms and the frustrations of modern life .,OF,modern life,Indef,n,Inanim,the boredoms and the frustrations,n,Inanim
which is the se the source of extreme frustration on my behalf .,the source of extreme frustration on my behalf .,OF,extreme frustration on my behalf,Indef,n,Inanim,the source,n,Inanim
in the eyes of the law . since the motorcycle accident . and .,the eyes of the law .,OF,the law,Def,n,Inanim,the eyes,n,Inanim
but . that was basically the end of ah what I wanted to do as I was gonna do a BSC,the end of ah what I wanted to do,OF,what I wanted to do,Def,n,Inanim,the end,n,Inanim
they then . tried to force the end of my academic career .,the end of my academic career .,OF,my academic career,Def,n,Inanim,the end,n,Inanim
for suffering my father's temper . which is caused my sister to change her sexual preference -,my father's temper .,S,my father,Def,n,Anim,temper,n,Inanim
he was described by Stephen King as the future of horror writers .,the future of horror writers .,OF,horror writers,Indef,n,Anim,the future,n,Inanim
the second . book of the trilogy - yeah got them all on his lines .,the second . book of the trilogy -,OF,the trilogy,Def,n,Inanim,the second book,n,Inanim
/what the maori occupation/ of the Moutua Gardens,the maori occupation/ of the Moutua Gardens,OF,the Moutua Gardens,Def-pn,n,Inanim,the maori occupation,n,Inanim
as the Maoris had New Zealand through the right of conquest from the moriori's .,the right of conquest,OF,conquest,Indef,n,Inanim,the right,n,Inanim
the gardens in my . understanding were gifted to the people of Wanganui .,the people of Wanganui .,OF,Wanganui,Def-pn,n,Inanim,the people,n,Anim
the likes of a very few - a selected radical minority -,the likes of a very few - a selected radical minority -,OF,a very few a selected radical minority,Indef,n,Inanim,the likes,n,Inanim
decided to protest in in Auckland's gardens was there overnight and arrested the following,Auckland's gardens,S,Auckland,Def-pn,n,Inanim,gardens,n,Inanim
and they do not have the support of New Zealand as a whole -- yeah,the support of New Zealand as a whole --,OF,New Zealand as a whole,Def-pn,n,Inanim,the support,n,Inanim
east coast of Australia on motorbike .,the . east coast of Australia,OF,Australia,Def-pn,n,Inanim,the east coast,n,Inanim
the grass always seems greener on the other side of the fence .,the other side of the fence .,OF,the fence,Def,n,Inanim,the other side,n,Inanim
um . the colour of my hair is my natural colour and it'd,the colour of my hair,OF,my hair,Def,n,Inanim,the colour,n,Inanim
faster than the speed of sound and fucken .,the speed of sound,OF,sound,Indef,n,Inanim,the speed,n,Inanim
on a fucken rise on the back of a property .,the back of a property .,OF,a property,Indef,n,Inanim,the back,n,Inanim
so . I    just went bananas . right at the start of the year .,the start of the year .,OF,the year,Def,n,Inanim,the start,n,Inanim
through the season and across to Dunedin . for the next year of varsity -,the next year of varsity -,OF,varsity,Indef,n,Inanim,the next year,n,Inanim
when I was . at the end of my first year of varsity I was eighteen and I .,the end of my first year of varsity,OF,my first year of varsity,Def,n,Inanim,the end,n,Inanim
the start of this year and I was thinking of going .,the start of this year,OF,this year,Def,n,Inanim,the start,n,Inanim
um it makes up fifty about fifty per cent of the store's . income .,the store's . income .,S,the store,Def,n,Inanim,income,n,Inanim
so after I've finished . the first part of next year -,the first part of next year -,OF,next year,Def,n,Inanim,the first part,n,Inanim
w- . we might see um . actually our duty manager's um comment in the front page of the paper today .,our duty manager's um comment,S,our duty manager,Def,n,Anim,comment,n,Inanim
w- . we might see um . actually our duty manager's um comment in the front page of the paper today .,the front page of the paper,OF,the paper,Def,n,Inanim,the front page,n,Inanim
forget about the safety of the customers for God's sake .,God's sake .,S,God,Def-pn,n,Anim,sake,n,Inanim
but um yeah that's just . I think it's just the attitudes of,the attitudes of of people,OF,people,Indef,n,Anim,the attitudes,n,Inanim
so I got on the roof of the car and pushed the door open so they could get out .,the roof of the car,OF,the car,Def,n,Inanim,the roof,n,Inanim
but as I was jumping down I caught my eye . on the corner . of the door .,the corner . of the door .,OF,the door,Def,n,Inanim,the corner,n,Inanim
back of the . truck for the the sheep when it was um .,the . back of the truck,OF,the truck,Def,n,Inanim,the back,n,Inanim
so I was stuck there for four days that was at the start of the trip    . yeah,the start of the trip,OF,the trip,Def,n,Inanim,the start,n,Inanim
my girlfriend's parent .,my girlfriend's parent .,S,my girlfriend,Def,n,Anim,parent,n,Anim
in the middle of a down hill they'll make it bigger and then try it out -,the middle of a down hill,OF,a down hill,Indef,n,Inanim,the middle,n,Inanim
end of the . down hill part <yeah>,end of the . down hill part,OF,the down hill part,Def,n,Inanim,end,n,Inanim
over the jump . missed the bottom of the slope,the bottom of the slope,OF,the slope,Def,n,Inanim,the bottom,n,Inanim
he sort of landed quite a wee way from the bottom of the slope .,the bottom of the slope .,OF,the slope,Def,n,Inanim,the bottom,n,Inanim
and there's a little thin gap to the left of the gate I think it was .,the left of the gate,OF,the gate,Def,n,Inanim,the left,n,Inanim
um although I hated . that dude's hat really pissed me off,that dude's hat,S,that dude,Def,n,Anim,hat,n,Inanim
I enjoy the everybody's company up there and they're really nice people and .,everybody's company,S,everybody,Def,n,Anim,company,n,Inanim
explaining the problems of the world the problems that .,the problems of the world,OF,the world,Def,n,Inanim,the problems,n,Inanim
profanity is the last refuge of the articulate unarticulate,the last refuge of the articulate unarticulate,OF,the articulate unarticulate,Def,n,Anim,the last refuge,n,Inanim
just a few . just end of last year - <good>,end of last year -,OF,last year,Def,n,Inanim,end,n,Inanim
whether it's just the the round the edge of the top   you're,the edge of the top,OF,the top,Def,n,Inanim,the edge,n,Inanim
<gosh> so that would have been probably the effect of the smog,the effect of the smog,OF,the smog,Def,n,Inanim,the effect,n,Inanim
scam by the ahh . the tourist . areas of other nations .,the tourist . areas of other nations .,OF,other nations,Indef,n,Inanim,the tourist areas,n,Inanim
three people's days and not doing much,three people's days,S,three people,Indef,n,Anim,days,n,Inanim
ping-pong and golf being everybody else's subject -,everybody else's subject -,S,everybody else,Def,n,Anim,subject,n,Inanim
likes of the country teams mainly the weaker teams .,likes of the country teams,OF,the country teams,Def,n,Inanim,likes,n,Inanim
at the player's places and and ahh .,the player's places,S,the player,Def,n,Anim,places,n,Inanim
/ at the end Waikaka - of the year yeah/,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
you know we sort of our lounge was the back of the Valiant so < >,the back of the Valiant,OF,the Valiant,Def-pn,n,Inanim,the back,n,Inanim
amazing the amount of fish and all that so,the amount of fish,OF,fish,Indef,n,Inanim,the amount,n,Inanim
< > in the middle of June? -,the middle of June? -,OF,June,Def-pn,n,Inanim,the middle,n,Inanim
I have been down to the bottom of New Zealand Steward Island?,the bottom of New Zealand,OF,New Zealand,Def-pn,n,Inanim,the bottom,n,Inanim
side of the house . < >,the .   side of the house . < >,OF,the house,Def,n,Inanim,the side,n,Inanim
inside of the house what I started off with that was after weeks,the .   inside of the house,OF,the house,Def,n,Inanim,the inside,n,Inanim
from a adult's point of view because like .,a adult's point of view,S,a adult,Indef,n,Anim,point of view,n,Inanim
and um . one of the boys went and nicked someone's -,someone's - ahh thing that they posted on their poster,S,someone,Indef,n,Anim,thing that they posted on their poster,n,Inanim
we had her for um . what was it oh um women's suffrage .,women's suffrage .,S,women,Indef,n,Anim,suffrage,n,Inanim
<oh yeah> now she she did a bit of a unit on women's suffrage and um -,women's suffrage,S,women,Indef,n,Anim,suffrage,n,Inanim
I see her in the in in the way of dolls and women's day and all that so -,the way of dolls and women's day and all that,OF,dolls and women's day and all that,Indef,n,Inanim,the way,n,Inanim
the the um . the . little girls' fathers,the . little girls' fathers,S,the little girls,Def,n,Anim,fathers,n,Anim
it's actually it's actually an album made about the hard times of Massive Attack,the hard times of Massive Attack,OF,Massive Attack,Def-pn,n,Inanim,the hard times,n,Inanim
<wow> and the hard times of Massive Attack is making Mezzanine,the hard times of Massive Attack,OF,Massive Attack,Def-pn,n,Inanim,the hard times,n,Inanim
the only time when I've sort of been on the receiving end of a hiding and it was,the receiving end of a hiding,OF,a hiding,Indef,n,Inanim,the receiving end,n,Inanim
it was I first started it was like the second day of high school -,the second day of high school -,OF,high school,Indef,n,Inanim,the second day,n,Inanim
take them on kind of thing and it was like the second day of school,the second day of school,OF,school,Indef,n,Inanim,the second day,n,Inanim
hard crew of the seventh form and the sixth form and the fifth form,the entire   hard crew of the seventh form and the sixth form and the fifth form,OF,the seventh form and the sixth form and the fifth form,Def,n,Inanim,the entire hard crew,n,Anim
whole thing like way over on the other side of the field on his bike -,the other side of the field,OF,the field,Def,n,Inanim,the other side,n,Inanim
okay . I was it was at the most trickiest part of the rapid .,the most trickiest part of the rapid .,OF,the rapid,Def,n,Inanim,the most trickiest part,n,Inanim
the river grabbed him and threw him right to the other side of the river,the other side of the river,OF,the river,Def,n,Inanim,the other side,n,Inanim
so he is paddling hard out to get back to the other side of the river .,the other side of the river .,OF,the river,Def,n,Inanim,the other side,n,Inanim
and this is like . this is a rock maybe the size of our house <oh>,the size of our house,OF,our house,Def,n,Inanim,the size,n,Inanim
half the size of the house .,the size of the house .,OF,the house,Def,n,Inanim,the size,n,Inanim
but he made it . around to the right side of the rock .,the right side of the rock .,OF,the rock,Def,n,Inanim,the right side,n,Inanim
Ian Fergusson's strength or what -,Ian Fergusson's strength,S,Ian Fergusson,Def-pn,n,Anim,strength,n,Inanim
and it surfed him across the other side of the river so he missed the wave .,the other side of the river,OF,the river,Def,n,Inanim,the other side,n,Inanim
for three months . which was the biggest mistake of my life . I wouldn't advise anyone . to do it,the biggest mistake of my life .,OF,my life,Def,n,Inanim,the biggest mistake,n,Inanim
um . it was in Waiouru - which is the coldest . hole of New Zealand I have decided -- um,the coldest . hole of New Zealand,OF,New Zealand,Def-pn,n,Inanim,the coldest hole,n,Inanim
troublemakers of Geraldine,troublemakers of Geraldine,OF,Geraldine,Def-pn,n,Inanim,troublemakers,n,Inanim
yeah <mmm hmm> right smack bang in the middle of the summer and .,the middle of the summer,OF,the summer,Def,n,Inanim,the middle,n,Inanim
main part of the day the same here it was up to round forty degrees <yeah>,main part of the day,OF,the day,Def,n,Inanim,main part,n,Inanim
the spelling of um . CYPS sort of I could see it,the spelling of um . CYPS,OF,CYPS,Def-pn,n,Inanim,the spelling,n,Inanim
 - you know . people's ah -- personalities and you know -,people's ah -- personalities,S,people,Indef,n,Anim,personalities,n,Inanim
the day of that letter I suppose,the day of that letter,OF,that letter,Def,n,Inanim,the day,n,Inanim
