Unnamed: 0,Context,Response.variable,Possessor,Possessum,morph_case
601,i got up from reception to go to $the principal$'s-&office& to get kathy,s-genitive,the principal,office,gen
602,"near $the principal$'s &office&, um, with the photos of the kids that are on suspension. ",s-genitive,the principal,office,gen
603,in $the librarian$'s-&office& but none of that was in place before,s-genitive,the librarian,office,gen
604,what 's that- i 'm trying to think of $that kid$'s &name&.  ,s-genitive,that kid,name,gen
605,and now punching going on that knocked $the kid$'s &contact-lens& out of his eye. ,s-genitive,the kid,contact-lens,gen
606,like you-know i mean like $my friend$'s &friends& i don 't think they would intentionally hurt me ,s-genitive,my friend,friends,gen
607,"um, badminton on my parent's la&wn a&nd, ah$$nton on my parent's lawn and, ah,",s-genitive,my parents,lawn,gen
608,"hide-and-seek, badminton on my parent's la&wn$$&seek, badminton on my parent's lawn.",s-genitive,my parents,lawn,gen
609,"when it comes to $children$'s &drawings& if they- depending on what age they 're at,",s-genitive,children,drawings,gen
610,run around in yogi-bear shaking $people$'s &hands& and patting them on the head,s-genitive,people,hands,gen
611,encouraging to see that change in $people$'s &perspective and attitude&.,s-genitive,people,perspective and attitude,gen
612,"for christmas, we go to $my husband$'s &family& and do stuff there.",s-genitive,my husband,family,gen
613,and he worked in $an architect$'s &office&,s-genitive,an architect,office,gen
614,"um $my mother$'s &family&, they were in germany in the displacement camps there,",s-genitive,my mother,family,gen
615,"and it 's not like she watches t-v at $other people$'s &houses&, because she doesn 't,",s-genitive,other people,houses,gen
616,"uh well, $my dad$'s &parents& were born in toronto,",s-genitive,my dad,parents,gen
617,"and $my mom$'s &parents&, i think, were born in montreal,",s-genitive,my mom,parents,gen
618,and then there 's none from $my father$'s &side& anyways.,s-genitive,my father,side,gen
619,it would never- the- $people$'s &lives& are way too fast for that.,s-genitive,people,lives,gen
620,"$sting$'s &music& is kind of poncey now, even to a certain degree.",s-genitive,sting,music,gen
621,"i can 't remember &the names& of $these victims$, but yeah,",of-genitive,these victims,the names,gen
622,"it has to be very windy to take you, and it has a half &sail&, itãs almost like $a parachuter$'s sail, like a half sail.",s-genitive,a parachuter,sail,gen
623,"now we asked her, and this was what she wanted was $a mother-in-law$'s um &apartment-house-thing& too and she said, ¶no.÷",s-genitive,a mother-in-law,apartment-house-thing,gen
624,"µcause her mom was put in $her brother$'s &house& and it was supposed to have an apartment and it didnãt,",s-genitive,her brother,house,gen
625,and i and my mom and dad ah we used to go to bancroft to $my aunt$'s &cottage& in july for two weeks.,s-genitive,my aunt,cottage,gen
626,ah yeah um $my d&ad$&'s dad lived in bowmanville by the train-bridge,s-genitive,my dad,dad,gen
627,$my mom$'s &parents& were born out west.,s-genitive,my mom,parents,gen
628,"um $my d&ad$&'s dad ah used to have vegetable garden and apple trees and-that,",s-genitive,my dad,dad,gen
629,"i think $my mom$'s &dad& was in the war, if i remember right.",s-genitive,my mom,dad,gen
630,"now our neighbours um at the trailer, $rick$'s &family&, they um wakeboard.",s-genitive,rick,family,gen
631,ah no itãs $his mom$'s &property&.,s-genitive,his mom,property,gen
632,a lot of car-pooling with- with $parents$' &friends& in the lithuanian communities so-,s-genitive,parents,friends,gen
633,$my brother$'s &place& was in a- they were- they just barely escaped the ah the fires.,s-genitive,my brother,place,gen
634,"oh- you-know it crossed $some people$'s &minds&,",s-genitive,some people,minds,gen
635,the people from those &communities& actually going to the other-  into $each other$'s communities.,s-genitive,each other,communities,gen
636,it's changed a whole lot from $the customer$'s &point-of-view&,s-genitive,the customer,point-of-view,gen
637,and we were at $his oldest son$'s &wedding&,s-genitive,his oldest son,wedding,gen
638,borrow one of $my cousin$'s &costumes&,s-genitive,my cousin,costumes,gen
639,without &the influence& of $sisters and parent$ and-that-kind-of-thing,of-genitive,sisters and parent,the influence,gen
640,my sister lives in $my dad$'s &house&.,s-genitive,my dad,house,gen
641,$a friend$'s &mother& owned it,s-genitive,a friend,mother,gen
642,"really small stuff you-know, ""who used $dad$'s &razor&?""",s-genitive,dad,razor,gen
643,your mom and dad got $your grandmother$'s &house&,s-genitive,your grandmother,house,gen
644,so they walk to $their friend$'s &house&. ,s-genitive,their friend,house,gen
645,i understand $hazel$'s &daughter& is quite happily married.,s-genitive,hazel,daughter,gen
646,"was taken care of by one of $my dad$'s ah &little sisters&, until she died.",s-genitive,my dad,little sisters,gen
647,and $meryl$ 's &master's of science& in music.,s-genitive,meryl,master's of science,gen
648,and- and got right in $somebody$ 's &face& and- and not violent.,s-genitive,somebody,face,gen
649,and then they just dug four wells on $the mayor$'s &farm&.,s-genitive,the mayor,farm,gen
650,$diane$'s &kids& might have gone there. diane and yves' kids.,s-genitive,diane,kids,gen
651,diane's &kids& might have gone there. $diane and yves$' kids.,s-genitive,diane and yves,kids,gen
652,and i remember my father and i lying in $my mom$ 's &lap&-,s-genitive,my mom,lap,gen
653,'cause he would get in $people$s'- like he would get right into peoples' &face&.,s-genitive,people,face,gen
654,that was well before that- &the movement& of $experts$ and stuff-like-that in the last twenty years or so,of-genitive,experts,the movement,gen
655,and it was designed to cut out about a third of &the population& of $students$.,of-genitive,students,the population,gen
656,"they have to do a voiding-cysto-urethragram which involves th&e catheterization o&f your two and a half year old daughter$$ysto-urethragram which involves the catheterization of your two and a half year old daughter,",of-genitive,your two-and-a-half-year-old,the catheterization,gen
657,but she would like pull one of $my mom$'s &nice china-cups&-,s-genitive,my mom,nice china-cups,gen
658,"okay from an m-d's po&int-of-view t&hey don 't very often, as far as i know, i could be wrong, prescribe to go to chiropractor$$ from an m-d's point-of-view they don 't very often, as far as i know, i could be wrong, prescribe to go to chiropractor,",s-genitive,an md,point-of-view,gen
659,"like i think that like from- from my- $our kid$s' &point-of-view&, um, and from my experiences,",s-genitive,our kid,point-of-view,gen
660,i got to stay up and mingle with my ah parents' fr&iend$$s&tay up and mingle with my ah parents' friends,s-genitive,my parents,friends,gen
661,"like ah one's ah $alicia$'s &age&, goes to the same school",s-genitive,alicia,age,gen
662,"and ah $david$'s &kids& you-know i was talking to sali, they- they've all- they've all got facebook sites.",s-genitive,david,kids,gen
663,it 's just like you 're concerned for &the safety& of $these people$ but you also know that their parents,of-genitive,these people,the safety,gen
664,and $my husband$'s &work& would organize the odd like night ,s-genitive,my husband,work,gen
665,"especially for just $the on-site director$'s &position&, ",s-genitive,the on-site director,position,gen
666,i just do what i did for $my dad$'s &funeral&.,s-genitive,my dad,funeral,gen
667,that you 're right across from $someone$'s &house&.,s-genitive,someone,house,gen
668,is you 're across from $someone$'s &house&. ,s-genitive,someone,house,gen
669,"i guess $my grandmother$'s &generation&, it would have been,",s-genitive,my grandmother,generation,gen
670,"in fact, we could have gone with $bjorn$'s &friend& right who was, you-know, ",s-genitive,bjorn,friend,gen
671,"and she goes ""well you go check-in and then come back and- and i 'll take all $the kids$' &meals& off the bill""",s-genitive,the kids,meals,gen
672,"yeah, no, those were like $little kids$' &ones& then you-",s-genitive,little kids,ones,gen
673,at christmas-time everybody would go to $someone else$'s &house& on christmas-eve,s-genitive,someone else,house,gen
674,i went to work- $paul-steinberg$'s &sister& ann got a job at the granite-club as a waitress and then she got him a job-,s-genitive,paul-steinberg,sister,gen
675,i had $my dad$'s &car& down in the garage,s-genitive,my dad,car,gen
676,and it turned out $calderone$'s &son& mike was at bre-buff as well but he was younger then me,s-genitive,calderone,son,gen
677,"he' s about $grandpa$'s &age&, maybe he 's a bit older.",s-genitive,grandpa,age,gen
678,it was just a couple like if you went to $someone$ 's &cottage& or something,s-genitive,someone,cottage,gen
680,so these indi-- &the parents& of $my friends$ were- like i- ,of-genitive,my friends,the parents,gen
681,"he 'd walk 'cross the street and he 'd look into $my dad$'s &yard&, and he sort-of you-know,",s-genitive,my dad,yard,gen
682,and you-know more of $gord$'s &age& and joyce's age you will hear it.,s-genitive,gord,age,gen
683,...and you-know more of gord's age and $joyce$'s &age& you will hear it.,s-genitive,joyce,age,gen
684,"and he goes to $other friends$' &house&, but aside from- ",s-genitive,other friends,house,gen
685,"but in terms of $people$s' &identity&, i- i really think east-york will- ",s-genitive,people,identity,gen
686,you could sort-of count on $everybody$'s &parents& looking after everybody.,s-genitive,everybody,parents,gen
687,"so anyway, $my poor friend$'s &backyard& was almost crushed under the weight of these bricks and it-",s-genitive,my poor friend,backyard,gen
688,$my mom$'s ah &little ball& in front of her  garden is now b-c-i bricks,s-genitive,my mom,little ball,gen
689,at $a friend$'s &cottage& i've learned to water-ski,s-genitive,a friend,cottage,gen
690,and then as you dropped it well it's the $next person$'s &turn& and then ,s-genitive,next person,turn,gen
691,and at $a friend$'s &house& when we lived in peterborough,s-genitive,a friend,house,gen
692,"go to $the principal$'s &office& and then they'd say,",s-genitive,the principal,office,gen
693,"um $my husband$'s &mom and dad&,",s-genitive,my husband,mom and dad,gen
694,then with $luke$'s &mom&,s-genitive,luke,mom,gen
695,'cause one $courtney$'s &friends& her mom joined it,s-genitive,courtney,friends,gen
696,$her friend$'s &name& is heather ,s-genitive,her friend,name,gen
697,"some of $my kids$' &friends& live south of there, their parents live south of there,",s-genitive,my kids,friends,gen
698,"$my wife$ 's &family& does, yeah. ",s-genitive,my wife,family,gen
699,"um, uh i was just slightly older than $my son$'s &age&, my oldest son.",s-genitive,my son,age,gen
700,$my dad$ 's uh &heritage& is- is different than my mom 's in that they- they were always the engineers,s-genitive,my dad,heritage,gen
701,"um, yeah, the kids have a p-c at home and- at $their mom$ 's &house&,",s-genitive,their mom,house,gen
702,"i find that- that overall where $people$ 's &language& is different is where they 're trying to fit into uh, an aspect of our culture.",s-genitive,people,language,gen
703,"her name was in it, and you-know that was the- &the guide& of $the debutants in toronto$ and um, we belonged to um- belonged to ah the r-c-y-c yacht-club",of-genitive,the debutants in toronto,the guide,gen
704,"because it 's still, with <&the exception& of $some really good people$,> crew wise, producers etcetera, uh, um, who do the bulk of the american programming that comes up here, ",of-genitive,some really good people,the exception,gen
705,mostly over at $jack$'s- jack's &neck-of-the-woods&.,s-genitive,jack,neck-of-the-woods,gen
706,"and then one of $jason$'s &friends&, my friends, ah gary got-",s-genitive,jason,friends,gen
707,i used to get ah $my dad$'s &buddy& to buy us beer 'cause we 're under age.  karim.,s-genitive,my dad,buddy,gen
708,"yeah.  i was told $the guy$'s &name& yeah, yeah.",s-genitive,the guy,name,gen
709,"yup.  and if you talked back to $a neighbour$'s &dad&, your parents would give him the perni-- permission to slap across the ass.",s-genitive,a neighbour,dad,gen
710,"it's not maybe- not $everyone$'s &cup of tea& but yeah, ",s-genitive,everyone,cup of tea,gen
711,"and i finally we-- went up to $my friend$'s &place&, ",s-genitive,my friend,place,gen
712,"...my motherãs &parents& were from russia, $my father$'s parents were from austria",s-genitive,my father,parents,gen
713,it was an interesting split between $my mother$'s &parents&,s-genitive,my mother,parents,gen
714,"...and $my father$'s &parents&, they were uh,",s-genitive,my father,parents,gen
715,"...$my father$'s &parents& were poorer, for one, ",s-genitive,my father,parents,gen
716,"$my mother$'s &parents& were from russia, my fatherãs parents were from austria",s-genitive,my mother,parents,gen
717,they are having a re-enactment of $charlotte$'s &wedding& ,s-genitive,charlotte,wedding,gen
718,he really didn't deal with $his father$'s &death& at all. ,s-genitive,his father,death,gen
719,they are like $an architecture$'s &dream&.,s-genitive,an architecture,dream,gen
720,i have seen enough um horror in my own life with $my husband$'s &suicide&,s-genitive,my husband,suicide,gen
721,"oh this chair you are sitting on, that was in $someone$'s &garbage& ",s-genitive,someone,garbage,gen
722,"i used to love to help in my- in $my mother$'s &garden&, ",s-genitive,my mother,garden,gen
723,we each have a week and advent-sunday at $somebody$'s &house&. ,s-genitive,somebody,house,gen
724, i 'm &recording& something. i can't have any music.  $shayna$'s recording.  denise is recording the conversation for her research.,s-genitive,shayna,recording,gen
725,"well, um, $eleanor$'s &family& was asian, there was bit of language-barrier as well,",s-genitive,eleanor,family,gen
726,now we went to $her dad$'s &funeral&. i went a couple of weeks ago.,s-genitive,her dad,funeral,gen
727,go to $mike and marla$'s &house& and all embroidered cushions have cats faces on them-,s-genitive,mike and marla,house,gen
728," well he 's, val's hu&sband. & her girlsfriend's husband.  uh maybe he liikes you.  yeah  he does$$val's husband.  her girlsfriend's husband.  uh maybe he liikes you.  yeah  he does.",s-genitive,her girlfriend,husband,gen
729,as far as you-know violence was limited to $children$'s &squabbles& and-,s-genitive,children,squabbles,gen
730,"a lot of cases, $the children$'s &friends& are- ",s-genitive,the children,friends,gen
731,"if it was largely for $my dad$'s &work&, my dad was a landscape-architect ",s-genitive,my dad,work,gen
732,"which is heritage um, okay is the farm, was $my mother$'s &piano&, or what-",s-genitive,my mother,piano,gen
733,...or what they basically they call $my mother$'s &piano&. ,s-genitive,my mother,piano,gen
734,"i was buddy-buddies with $the guy$'s &son& and he says,",s-genitive,the guy,son,gen
735,i can 't remember what $the guy$'s &name& was.,s-genitive,the guy,name,gen
736,she was $a vetrinarian$'s &assistant& and she used to take in the animals,s-genitive,a vetrinarian,assistant,gen
737,and same thing with $the m$'s &house& next door. ,s-genitive,the m,house,gen
738,don 't -take that to $someone else$'s &house&. ,s-genitive,someone else,house,gen
739,i think it 's taking away from &the education& of $people that were born here$.,of-genitive,people that were born here,the education,gen
740,i think that takes away from &the cultural experience& of $our kids$. ,of-genitive,our kids,the cultural experience,gen
741,"i remember driving down to um $my grandmother$'s &house&, ",s-genitive,my grandmother,house,gen
742,"in $karen$'s &public-school class&, grade-four, out of thirty kids,",s-genitive,karen,public-school class,gen
743,"except for $my mother$'s &house& at- at thirty-three murray,",s-genitive,my mother,house,gen
744,and these planks of wood were stored in $somebody$'s &garage& for quite awhile. ,s-genitive,somebody,garage,gen
745,who put firecrackers in $richard-bennet$'s &pocket& and lit them.,s-genitive,richard-bennet,pocket,gen
746,that there was gonna be a do at $somebody$'s &place&. ,s-genitive,somebody,place,gen
747,and each night it was $somebody$'s &turn& to kick off the conversation,s-genitive,somebody,turn,gen
748,so we could dive into $my mom$'s &wonderful cooked meals&.,s-genitive,my mom,wonderful cooked meals,gen
749,to continue his education in edmonton with $my mom$'s &brother&.,s-genitive,my mom,brother,gen
750,just put your name up and go out and knock on $people$'s &doors&. ,s-genitive,people,doors,gen
751,he looked like all &the pictures& of $the holocaust survivors$.,of-genitive,the holocaust survivors,the pictures,gen
752,well $frances$' &husband& also remembered her very well in the same way,s-genitive,frances,husband,gen
753,because veli was here in toronto already.  $pappa$'s &uncle&. ,s-genitive,pappa,uncle,gen
754,the first one is $pappa$'s &father&'s big-brother.,s-genitive,pappa,father,gen
755,the first one is pa$ppa's father's$ big-brother&&one is pappa's father's big-brother.,s-genitive,pappa's father,big brother,gen
756,$harry-lorne$'s &family&.,s-genitive,harry-lorne,family,gen
757,but this is $veli$'s &pappa&'s mother's brother.,s-genitive,veli,pappa,gen
758,but this is $veli's pappa$'s &mother's brother&.,s-genitive,veli's pappa,mother's brother,gen
759,but this is $veli's pappa's mother$'s &brother&.,s-genitive,veli's pappa's mother,brother,gen
760,when they first came to toronto they lived upstairs of $paulina$'s &house&.,s-genitive,paulina,house,gen
761,$paulina$'s &parents& had a house downtown,s-genitive,paulina,parents,gen
762,$timmy$'s- timmy's &sister& mm-hm.,s-genitive,timmy,sister,gen
763,"you-know ""i 'm not coming with you to $your friend$'s &house&"" yeah.",s-genitive,your friend,house,gen
764,we 'd come down to $rachel$'s &place&  ,s-genitive,rachel,place,gen
765,giselle the mom of one of $nathan$'s &basketball& friends she was at jane-junior-high.,s-genitive,nathan,basketball,gen
766,kastehelmi?  it 's $a girl$'s &name&.,s-genitive,a girl,name,gen
767,his whole family is planning to go for $his mother$'s &birthday& which- which is when?,s-genitive,his mother,birthday,gen
768,yeah i mean if he takes &two pairs of pants& they take up more room than say $somebody else$'s two pairs of pants.,s-genitive,somebody else,two pairs of pants,gen
769,well that 's what i see at $nathan$'s &school& i mean,s-genitive,nathan,school,gen
770,but up in sudbury the people $mummi$'s &age& were born here.,s-genitive,mummi,age,gen
771,but like even $sunny$'s &mother& was saying- talking about it one time before sunny and his dad too.,s-genitive,sunny,mother,gen
772,&the mom& of $one of nathan's basketball friends$ she was at jane-junior-high.,of-genitive,one of nathan's basketball friends,the mom,gen
773,i think it was too fresh in &the minds& of $the people$ who had lived through it,of-genitive,the people,the minds,gen
774,$my grandparents$' &place&. ,s-genitive,my grandparents,place,gen
775,was my  grandparents'  ho&use$$&arents'  house.,s-genitive,my grandparents,house,gen
776,and my father taking me fishing and hunt-- well not hunting though $my uncle$'s &taxidermist&.,s-genitive,my uncle,taxidermist,gen
777,i had $my mother$'s &chandelier& hanging (inc) chandeliers hanging off of my ear,s-genitive,my mother,chandelier,gen
778,like that 's what makes my &life& rich and $my father$'s life rich is because they went to having tons of bombs dropt on him and,s-genitive,my father,life,gen
779,her fa-- father 's passed away.  and ah yeah man $her mother$'s &great man&.,s-genitive,her mother,great man,gen
780,everybody 's afraid of $everybody else$- else's &culture&.,s-genitive,everybody else,culture,gen
781,"it 's other people from the outside that- that can say ""wow check out $that guy$'s &life&"" you-know?",s-genitive,that guy,life,gen
782,"$our parents$' &generation& said of our generation, we 're the first generation who 's never known war,",s-genitive,our parents,generation,gen
783,"so much more limited than you-know, say of your &generation& or $your parents$' generation.",s-genitive,your parents,generation,gen
784,"um, i 'll start with $my dad$'s &family&. my dad's family came from russia.",s-genitive,my dad,family,gen
785,"um, i 'll start with $my dad$'s &family&. my dad's family came from russia.",s-genitive,my dad,family,gen
786,$my mother$'s &side& of the family is irish-catholic,s-genitive,my mother,side,gen
787,canadian as opposed to $my dad$'s &side& of the family.,s-genitive,my dad,side,gen
788,and in $my dad$'s &case& he was the first ch-- and i think probably the only child who actually went to university.,s-genitive,my dad,case,gen
789,"so $my d&ad$&'s dad, like many immigrants, did a range of things including trading furs with the native indians, way up north.",s-genitive,my dad,dad,gen
790,"$my mother$'s &dad&, i think he worked again, not as a miner, but in the operations of the mine,",s-genitive,my mother,dad,gen
791,"on $my dad$'s &side& of the family, and they 're much more traditional,",s-genitive,my dad,side,gen
792,"i guess $my dad$'s &background& more than my mother- my mother 's a lapsed catholic,",s-genitive,my dad,background,gen
793,"if i go through $my sister$'s &yearbooks&, there 's- and it 's a very-",s-genitive,my sister,yearbooks,gen
794,"it used to be $a man$'s &game& up until the seventies, because it- it- men came out of the plant and,",s-genitive,a man,game,gen
795,"where it became $a woman$'s &game& is, it started to become human-resources, and a bit more professional, and you started to need college or university creditation in order to do it.",s-genitive,a woman,game,gen
796,"so you had to wait for all those guys to die, and- and all the women- so now- now basically, it is a women's- $a woman$'s &career&.",s-genitive,a woman,career,gen
797,"so now- now basically, it is a women's- $a woman$'s &career&.",s-genitive,a woman,career,gen
798,cause now it 's perceived as $women$'s &work&.,s-genitive,women,work,gen
799,"so if you look at $mel-lastman$'s &career& in terms of being the mayor of toronto,",s-genitive,mel-lastman,career,gen
800,he 's like $the world$'s &biggest star&. ,s-genitive,the world,biggest star,gen
801,"i guess he really wanted to be married in &the eyes& of $god$, i don 't know. ",of-genitive,god,the eyes,gen
802,"reading the paper the other day, the- &the firing& of $tosca$ off the blue-jays, right?",of-genitive,tosca,the firing,gen
803,"and had some fun in the park, with $the neighbour$'s &kids& and that. ",s-genitive,the neighbour,kids,gen
804,and then one day he showed up $my mom$'s &place& and i got a phone call ,s-genitive,my mom,place,gen
805,but most of the time we were playing at $the other friend$'s &house&.,s-genitive,the other friend,house,gen
806,"always get along with $someone else$'s &troubles&, right, lot easier. ",s-genitive,someone else,troubles,gen
807,"you could tell $your father$'s &whistle& from your friend's father's whistle,",s-genitive,your father,whistle,gen
808,"brock is ah, from $my mom$'s &uncle&.",s-genitive,my mom,uncle,gen
809,"and then my mom moved to belleville to live with ah, $her dad$'s &sister&.",s-genitive,her dad,sister,gen
810,"ah, on $my dad$'s &side&, yes.",s-genitive,my dad,side,gen
811,"my uncle, $my dad$'s &brother&, used to own the store in rossmore.",s-genitive,my dad,brother,gen
812,ah $my buddy$'s &dad& got wind of it and he put a stop to that.,s-genitive,my buddy,dad,gen
813,"and actually made up posters and had them on $everybody$'s &door& in the building,",s-genitive,everybody,door,gen
814,"i went up there and the- $the young lad$'s &father& wasn't home and ah,",s-genitive,the young lad,father,gen
815,"$tina$'s &mom& worked there too,",s-genitive,tina,mom,gen
816,"um, i still remember some of &the names& of $some of the teachers$.",of-genitive,some of the teachers,the names,gen
817,"and screw &the wives& of $the guy$s and he would say, ",of-genitive,the guy,the wives,gen
818,my parent-- $my mother$'s &family& was up on- on dundas- jane and annette,s-genitive,my mother,family,gen
819,in- because my maternal mother's- $my mother$'s &grandfather& left italy to go to portland oregon,s-genitive,my mother,grandfather,gen
820,...in- because my maternal mother's- $my mother$'s &grandfather& left italy to go to portland oregon,s-genitive,my mother,grandfather,gen
821,um $my mother$'s &brother& came here after the war and he went- ,s-genitive,my mother,brother,gen
822,"um in both $my mother and father$'s &case&, ",s-genitive,my mother and father,case,gen
823,they all ended up working in $their dad$'s &businesses&.,s-genitive,their dad,businesses,gen
824,she was raised by parents that are my- my parent's ge&neration y&et she 's much younger$$aised by parents that are my- my parent's generation yet she 's much younger ,s-genitive,my parents,generation,gen
825,what $my mother$'s &grandfather&- my great-grandfather did.,s-genitive,my mother,grandfather,gen
826,"ah $my mom$'s &mom and dad& ah lived- they were full-blooded mohawk indians,",s-genitive,my mom,mom and dad,gen
827,"$dad$'s &parents& were- ah the only place i can remember that they lived that i- that i went to see them was on ponton,",s-genitive,dad,parents,gen
828,"if you carried on from $my grandmother$'s &backyard& and my mom's backyard, there was a huge long backyard that was- belonged to one of the houses",s-genitive,my grandmother,backyard,gen
829,"if you carried on from my grandmother's &backyard& and $my mom$'s backyard, there was a huge long backyard that was- belonged to one of the houses",s-genitive,my mom,backyard,gen
830,"i can't remember $the lady$'s &name&, the house is still there,",s-genitive,the lady,name,gen
831,"and we've gone to $gretzky$'s &restaurant&, and walter-gretzky, who's wayne's dad, hangs out there every saturday-night, on hockey-night.",s-genitive,gretzky,restaurant,gen
832,"i'm in $my mother-in-law$'s &car&, which was a big monte-carlo or something,",s-genitive,my mother-in-law,car,gen
833,"ah the way the backyards were set-up, $my grandparents$' &house& and our house had a joined backyard so there was really nothing in the way there. ",s-genitive,my grandparents,house,gen
834,"and back then ah $my parents$' &house&- this was- my mum used to do her washing through an old wringer-washer,",s-genitive,my parents,house,gen
835,"so i got $jack-nicholaus$' &autograph&, when he was done i tapped him on the shoulder, and i said, ""thanks jack.""",s-genitive,jack-nicholaus,autograph,gen
836,"and it went between my &house& and $my neighbour$ 's house,",s-genitive,my neighbour,house,gen
837,"well one year we had a vacation at $an uncle$ 's &cottage& and it was on rice-lake,",s-genitive,an uncle,cottage,gen
838,"actually some very old part of it, which is knocked down now, was $the nurses$' &residence&, very old.",s-genitive,the nurses,residence,gen
839,"it 's not a huge part of my life, because of the way i grew up, but it is a huge part of $kid$s' &lives& today.",s-genitive,kid,lives,gen
840,"i used to go into $my grandparents$' &basement&,",s-genitive,my grandparents,basement,gen
841,"yeah the &house& we lived in for most of my younger life um was $my grandmother$'s house, so we lived in that house.",s-genitive,my grandmother,house,gen
842,"um, $my friend$ 's &kids&- and he 's now twenty,",s-genitive,my friend,kids,gen
843,"i always talk (inc), ""why am i going to photograph $someone$ 's &misery&?""",s-genitive,someone,misery,gen
844,"&kids& who are younger, $my friend$ 's kids, i can actually have a conversation about that with them.",s-genitive,my friend,kids,gen
845,"sorry $nina$'s &parents& have been there, so have- i 've been there.",s-genitive,nina,parents,gen
846,"and i know americans as a group, as a blanket statement, are not $everybody$ 's &favourite&,",s-genitive,everybody,favourite,gen
847,"yeah that 's $our leader$'s &position&, and they decided this",s-genitive,our leader,position,gen
848,i don 't know what i was thinking but they listed all $the people$ 's &names& but they listed the children,s-genitive,the people,names,gen
849,"and then $my mother$ 's &family&, they 've taken me to church and i-",s-genitive,my mother,family,gen
850,the little japanese- and $a famous photographer$ 's &name& is w-eugene-smith and he was- even then i didn 't know,s-genitive,a famous photographer,name,gen
851,when i was about eight i went to $a friend$ 's &house& and they 'd come from europe,s-genitive,a friend,house,gen
852,"so i can you-know give my opinion, but since &the years& of $trudeau$.",of-genitive,trudeau,the years,gen
853,and he drove me to $my parents$' &place& place and took me to the front door,s-genitive,my parents,place,gen
854,"we moved to this new house with my- &the arrival& of $my sister$, ",of-genitive,my sister,the arrival,gen
855,so i learned a lot about $women$'s &feet&.,s-genitive,women,feet,gen
856,so the worst part was getting boots up $women$'s &calves& 'cause they 're all too heavy,s-genitive,women,calves,gen
857,"and uh, $my father$'s &parents& passed away when he was quite young,",s-genitive,my father,parents,gen
858,"um, $my grandmother$'s &people& are related somehow,",s-genitive,my grandmother,people,gen
859,"i think that mary-t was $my g&randmother$&'s grandmother, ",s-genitive,my grandmother,grandmother,gen
860,"my wife was $my best friend$'s &brother& and i met her at a party on waverly-road,",s-genitive,my best friend,brother,gen
861,"$my mother$'s &sister& lived down the street on chisholm-avenue as well,",s-genitive,my mother,sister,gen
862,"um i was at $my aunt$'s &funeral& last year,",s-genitive,my aunt,funeral,gen
863,"and i 'm trying to think of $the guy$'s &name&, um- ",s-genitive,the guy,name,gen
864,"um, i know because my house is- $my kids$' &friends& are all either asian or black",s-genitive,my kids,friends,gen
865,i think $my husband$'s &hope&- he- he viewed the houses of a placement for a cottage. we both grew up on cottages and he said- thought that this would do the trick.,s-genitive,my husband,hope,gen
866,"she 's ah, you-know, on canada's <best-dressed women's li&st$$&nada's <best-dressed women's list>",s-genitive,canada's best dressed women,list,gen
867,i know $people$'s &tolerance& of what words mean have changed.,s-genitive,people,tolerance,gen
868,and in $this child$'s &context& because they belo-- they- that 's the other thing.,s-genitive,this child,context,gen
869,it was successful and ah it saved a lot of $people$s' &lives& and people with crohn's-disease-,s-genitive,people,lives,gen
870,"he 's going to go to neil-mcneil, $john-candy$'s &alma-mata& (says it like this)",s-genitive,john-candy,alma-mata,gen
871,"$my husband$'s &grandmother& was in her eighties and um she still- whenever someone needed something, she was still there you-know",s-genitive,my husband,grandmother,gen
872,"so ""you're eighty-five years old for-heaven's-sakes, you 're not going to clean $someone$'s &house&""",s-genitive,someone,house,gen
873,that 's $my husband$'s &family&.,s-genitive,my husband,family,gen
874,"and yeah, and that 's on my- on $my husband's mother$'s &side&. on his father's side, they were u",s-genitive,my husband's mother,side,gen
875,"and yeah, and that 's on my- on my husband's mother's si&de. &on his father's side, they were $$, and that 's on my- on my husband's mother's side. on his father's side, they were u",s-genitive,my father,side,gen
876,she could be $my husband's sister$'s &twin&,s-genitive,my husband's sister,twin,gen
877,she could be $my husband's sister$'s &twin&,s-genitive,my husband's sister,twin,gen
878,my so-- husband's co&usin d&id a family tree and um they found a lot of people in englan$$usband's cousin did a family tree and um they found a lot of people in england,s-genitive,my husband,cousin,gen
879,"$my friend$'s &mother&- this was my friend 'quote, unquote', mother came running up to me and grabbed it out of my hand",s-genitive,my friend,mother,gen
880,"i didn 't really understand the mentality there but it was- it was bad. you-know, '$atheist$'s &war&' or atheists- and you-know- catholic.",s-genitive,atheist,war,gen
881,"so at twenty-two, i became $this doctor$'s &guinea-pig&.",s-genitive,this doctor,guinea-pig,gen
882,she did up $cher$'s &dress& because cher couldn 't do up her own dress because of her fingernails.,s-genitive,cher,dress,gen
883,"$my father$'s &side&, there 's only my nasty aunt um still standing, she 's in florida.",s-genitive,my father,side,gen
884,"and as a child i remember him taking $my cousin andrew$'s &head&, taking his ears and beating his head against the wall.",s-genitive,my cousin andrew,head,gen
885,"i think that 's the only thing that would ever convince my mother, $kate$'s &grandma&, to get any kind of computer",s-genitive,kate,grandma,gen
886,"so as i say on my father's &side&, seventeen-nineties, and $my mother$'s side they came to canada from england",s-genitive,my mother,side,gen
887,"so this was always $elsie$'s &bungalow& that you would be taken to,",s-genitive,elsie,bungalow,gen
